song,artist,genre
Happy Holiday / The Holiday Season,Andy Williams,Classical
Christmas,Darlene Love,Classical
White Christmas,Bing Crosby,
 Home For The Holidays,Perry Como,Classical
It's Beginning To Look A Lot Like Christmas,Michael Buble,
Here Comes Santa Claus,Gene Autry,
Wonderful Christmastime,Paul McCartney,Pop
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,
Blue Christmas,Elvis Presley,Classical
Mele Kalikimaka,Bing Crosby,
This Christmas,Donny Hathaway,R&B
Deck The Halls,Nat King Cole,
Please Come Home For Christmas,Eagles,Pop
Santa Claus Is Comin' To Town,Jackson 5,
Little Saint Nick,The Beach Boys,Pop
Have Yourself A Merry Little Christmas,Michael Buble,
I'll Be Home For Christmas,Bing Crosby,
Hallelujah,Carrie Underwood,
Gnat,Eminem,Rap/Hip Hop
Rockin' Around The Christmas Tree,Justin Bieber,
Favorite Time Of Year,Carrie Underwood,
Under The Mistletoe,Kelly Clarkson,
Champagne Problems,Taylor Swift,
The First Noel,Gabby Barrett,Country
Tequila Shots,Kid Cudi,Rap/Hip Hop
'Tis The Damn Season,Taylor Swift,
Silent Night,Carrie Underwood,
"No Body, No Crime",Taylor Swift,
Gold Rush,Taylor Swift,
Tolerate It,Taylor Swift,
She Knows This,Kid Cudi,Rap/Hip Hop
Happiness,Taylor Swift,
Show Out,Kid Cudi,Rap/Hip Hop
Evermore,Taylor Swift,
Ivy,Taylor Swift,
Coney Island,Taylor Swift,
Another Day,Kid Cudi,Rap/Hip Hop
Dorothea,Taylor Swift,
Long Story Short,Taylor Swift,
Cowboy Like Me,Taylor Swift,
Marjorie,Taylor Swift,
Mr. Solo Dolo III,Kid Cudi,
Dive,Kid Cudi,Rap/Hip Hop
Closure,Taylor Swift,
Heaven On Earth,Kid Cudi,Rap/Hip Hop
Sad People,Kid Cudi,Rap/Hip Hop
Damaged,Kid Cudi,Rap/Hip Hop
Errbody,Lil Baby,Rap/Hip Hop
Beautiful Trip,Kid Cudi,Rap/Hip Hop
Real Shit,Juice WRLD,Rap/Hip Hop
Dicked Down In Dallas,Trey Lewis,Country
Oh Santa!,Mariah Carey,Dance
Don't Stop,Megan Thee Stallion,Rap/Hip Hop
Life Goes On,BTS,Asian Music
Martin & Gina,Polo G,Rap/Hip Hop
Heather,Conan Gray,Pop
Practice,DaBaby,Rap/Hip Hop
Te Mudaste,Bad Bunny,Latin Music
Be Like That,Kane Brown,Country
ily,Surf Mesa,Dance
Said Sum,Moneybagg Yo,Rap/Hip Hop
Yo Visto Asi,Bad Bunny,Latin Music
Haciendo Que Me Amas,Bad Bunny,Latin Music
Te Deseo Lo Mejor,Bad Bunny,Latin Music
Booker T,Bad Bunny,Latin Music
El Mundo Es Mio,Bad Bunny,Latin Music
Hoy Cobre,Bad Bunny,Latin Music
Maldita Pobreza,Bad Bunny,Latin Music
La Droga,Bad Bunny,Latin Music
Blue & Grey,BTS,Asian Music
Stay,BTS,Asian Music
One Beer,HARDY,Country
One Of Them Girls,Lee Brice,Country
Come & Go,Juice WRLD,Rap/Hip Hop
Fly To My Room,BTS,Asian Music
Telepathy,BTS,Asian Music
Dis-ease,BTS,Asian Music
Franchise,Travis Scott,Rap/Hip Hop
Girls In The Hood,Megan Thee Stallion,Rap/Hip Hop
Shots Fired,Megan Thee Stallion,Rap/Hip Hop
Pain Away,Meek Mill,Rap/Hip Hop
U 2 Luv,Ne-Yo,R&B
Wishing Well,Juice WRLD,Rap/Hip Hop
Do It On The Tip,Megan Thee Stallion,Rap/Hip Hop
Circles,Megan Thee Stallion,Rap/Hip Hop
Popstar,DJ Khaled,Rap/Hip Hop
Got What I Got,Jason Aldean,Country
Stripes Like Burberry,Future,Rap/Hip Hop
Adore You,Harry Styles,Pop
That's It,Future,Rap/Hip Hop
The Woo,Pop Smoke,Rap/Hip Hop
Real Baby Pluto,Future,Rap/Hip Hop
Iris,Phoebe,Dance
Mood Swings,Pop Smoke,Rap/Hip Hop
Marni On Me,Future,Rap/Hip Hop
Million Dollar Play,Future,Rap/Hip Hop
Sleeping On The Floor,Future,Rap/Hip Hop
Blind,DaBaby,Rap/Hip Hop
Plastic,Future,Rap/Hip Hop
24,Money Man,Rap/Hip Hop
Runnin,21 Savage,Rap/Hip Hop
Relacion,Sech,Latin Music
La Toxica,Farruko,Rap/Hip Hop
Tap In,Saweetie,Rap/Hip Hop
Rockstar Chainz,Future,Rap/Hip Hop
Bought A Bad Bitch,Future,Rap/Hip Hop
What That Speed Bout!?,Mike WiLL Made-It,Rap/Hip Hop
Rags2Riches,Rod Wave,Rap/Hip Hop
Roses,SAINt JHN,Rap/Hip Hop
Lovin' On You,Luke Combs,Country
Don't Need Friends,NAV,Rap/Hip Hop
The Code,King Von,Rap/Hip Hop
Tragic,The Kid LAROI,Rap/Hip Hop
All These N**gas,King Von,
Motive,Ariana Grande,Pop
Crazy Story 2.0,King Von,
Always Do,The Kid LAROI,Rap/Hip Hop
Young Wheezy,NAV,Rap/Hip Hop
Off The Table,Ariana Grande,Pop
Just Like Magic,Ariana Grande,Pop
"F*ck You, Goodbye",The Kid LAROI,Rap/Hip Hop
Shut Up,Ariana Grande,Pop
Thriller,Michael Jackson,Pop
Nasty,Ariana Grande,Pop
Break My Heart,Dua Lipa,Pop
Safety Net,Ariana Grande,Pop
Six Thirty,Ariana Grande,Pop
My Hair,Ariana Grande,Pop
Obvious,Ariana Grande,Pop
West Side,Ariana Grande,Pop
Love Language,Ariana Grande,Pop
Weeeeee,Trippie Redd,Rap/Hip Hop
Thick,DJ Chose,Rap/Hip Hop
Circles,Post Malone,Rap/Hip Hop
Dreams,Fleetwood Mac,Rock
Don't Start Now,Dua Lipa,Pop
Spicy,Ty Dolla $ign,R&B
The Other Guy,Luke Combs,Country
Without You,Luke Combs,Country
The Bigger Picture,Lil Baby,Rap/Hip Hop
Whole Lotta Choppas,Sada Baby,Rap/Hip Hop
Greece,DJ Khaled,Rap/Hip Hop
Un Dia,J Balvin,Rap/Hip Hop
Do It,Chloe,R&B
Cardigan,Taylor Swift,
Forget Me Too,Machine Gun Kelly,
Head & Heart,Joel Corry,Dance
"Wine, Beer, Whiskey",Little Big Town,Country
Hate The Way,G-Eazy,Rap/Hip Hop
OK Not To Be OK,Marshmello,Pop
Canceled,Larray,Rap/Hip Hop
Glock In My Lap,21 Savage,Rap/Hip Hop
Ice Cream,BLACKPINK,Asian Music
Smile,Juice WRLD,Rap/Hip Hop
Breaking Me,Topic,Dance
3 Headed Goat,Lil Durk,Rap/Hip Hop
I Called Mama,Tim McGraw,Country
Bloody Valentine,Machine Gun Kelly,
La Jeepeta,Nio Garcia,Reggaeton
Caramelo,Ozuna,Reggaeton
Pardon,T.I.,Rap/Hip Hop
Dollaz On My Head,Gunna,Rap/Hip Hop
If The World Was Ending,JP Saxe,Pop
"Baby, I'm Jealous",Bebe Rexha,Pop
Cool Again,Kane Brown,Country
Rich N*gga Sh*t,21 Savage,Rap/Hip Hop
Slidin,21 Savage,Rap/Hip Hop
Many Men,21 Savage,Rap/Hip Hop
Sofia,Clairo,Alternative
Fallin',Why Don't We,Pop
Outta Time,Bryson Tiller,R&B
My Dawg,21 Savage,Rap/Hip Hop
Brand New Draco,21 Savage,Rap/Hip Hop
Lovesick Girls,BLACKPINK,Asian Music
Snitches & Rats,21 Savage,Rap/Hip Hop
Rain On Me,Lady Gaga,Pop
No Opp Left Behind,21 Savage,
Steppin On N*ggas,21 Savage,Rap/Hip Hop
RIP Luv,21 Savage,Rap/Hip Hop
Always Forever,Bryson Tiller,R&B
Years Go By,Bryson Tiller,R&B
Said N Done,21 Savage,Rap/Hip Hop
Life Is Good,Future,Alternative
Chasin' You,Morgan Wallen,Country
Die From A Broken Heart,Maddie,Country
We Paid,Lil Baby,Rap/Hip Hop
Like That,Doja Cat,R&B
Over Now,Calvin Harris,Pop
Nobody's Love,Maroon 5,Pop
Better,Zayn,Pop
Drunk Face,Machine Gun Kelly,
"Ay, Dios Mio!",Karol G,Rap/Hip Hop
Money Over Fallouts,Tory Lanez,Rap/Hip Hop
Moral Of The Story,Ashe,Alternative
Say So,Doja Cat,R&B
Savage,Megan Thee Stallion,Rap/Hip Hop
Blueberry Faygo,Lil Mosey,Rap/Hip Hop
Dolly,Lil Tecca,Rap/Hip Hop
My Window,YoungBoy Never Broke Again,Rap/Hip Hop
When You Down,Lil Tecca,Rap/Hip Hop
Me Gusta,Anitta,Rap/Hip Hop
Wet.,YFN Lucci,Rap/Hip Hop
Lonely If You Are,Chase Rice,Country
Drug Addiction,YoungBoy Never Broke Again,Rap/Hip Hop
Wolves,Big Sean,Rap/Hip Hop
The Bones,Maren Morris,Country
One Margarita,Luke Bryan,Country
Gone Too Soon,Andrew Jannakos,Country
All In,YoungBoy Never Broke Again,Rap/Hip Hop
Dead Trollz,YoungBoy Never Broke Again,Rap/Hip Hop
Cross Roads,YoungBoy Never Broke Again,Rap/Hip Hop
The Last Backyard...,YoungBoy Never Broke Again,Rap/Hip Hop
Right Foot Creep,YoungBoy Never Broke Again,Rap/Hip Hop
One Night Standards,Ashley McBryde,Country
Lets Link,WhoHeem,
Dirty Stick,YoungBoy Never Broke Again,Rap/Hip Hop
Got It On Me,Pop Smoke,Rap/Hip Hop
Death Bed,Powfu,Rap/Hip Hop
Intentions,Justin Bieber,Pop
Party Girl,StaySolidRocky,Rap/Hip Hop
The Voice,Lil Durk,Rap/Hip Hop
Lithuania,Big Sean,Rap/Hip Hop
Deep Reverence,Big Sean,Rap/Hip Hop
Why We Drink,Justin Moore,Country
After Party,Don Toliver,
Body Language,Big Sean,Rap/Hip Hop
Why Would I Stop?,Big Sean,Rap/Hip Hop
Need It,Migos,Rap/Hip Hop
Stuck With U,Ariana Grande,Pop
Be A Light,Thomas Rhett,Country
I Love My Country,Florida Georgia Line,Country
God Whispered Your Name,Keith Urban,Country
Blastoff,Internet Money,Rap/Hip Hop
Expensive,Ty Dolla $ign,Rap/Hip Hop
The 1,Taylor Swift,
Done,Chris Janson,Country
Girl Of My Dreams,Rod Wave,Rap/Hip Hop
The Box,Roddy Ricch,Rap/Hip Hop
The Plan,Travis Scott,Rap/Hip Hop
Spicy,Nas,Rap/Hip Hop
Hate The Other Side,Juice WRLD,Rap/Hip Hop
Exile,Taylor Swift,
B*tch From da Souf,Mulatto,
21,Polo G,Rap/Hip Hop
Emotionally Scarred,Lil Baby,Rap/Hip Hop
Bluebird,Miranda Lambert,Country
Toosie Slide,Drake,Rap/Hip Hop
Mamacita,Black Eyed Peas,Reggaeton
Conversations,Juice WRLD,Rap/Hip Hop
Righteous,Juice WRLD,Rap/Hip Hop
Past Life,Trevor Daniel,Pop
Something Special,Pop Smoke,Rap/Hip Hop
Hard To Forget,Sam Hunt,Country
Supalonely,BENEE,Alternative
Letter From Houston,Rod Wave,Rap/Hip Hop
One Big Country Song,LOCASH,Country
Don't Rush,Young T,Rap/Hip Hop
Freestyle,Rod Wave,Rap/Hip Hop
Life's A Mess,Juice WRLD,Rap/Hip Hop
Move Ya Hips,A$AP Ferg,Rap/Hip Hop
Be Kind,Marshmello,Dance
Falling,Trevor Daniel,Pop
Walk Em Down,NLE Choppa,Rap/Hip Hop
The Last Great American Dynasty,Taylor Swift,
My Tears Ricochet,Taylor Swift,
August,Taylor Swift,
Invisible String,Taylor Swift,
Betty,Taylor Swift,
No Dribble,DaBaby,Rap/Hip Hop
Mirrorball,Taylor Swift,
Blood On My Jeans,Juice WRLD,Rap/Hip Hop
Lion King On Ice,J. Cole,Rap/Hip Hop
Seven,Taylor Swift,
This Is Me Trying,Taylor Swift,
Illicit Affairs,Taylor Swift,
Mad Woman,Taylor Swift,
The Climb Back,J. Cole,
Epiphany,Taylor Swift,
Peace,Taylor Swift,
Hoax,Taylor Swift,
Go!,Kid LAROI,Rap/Hip Hop
Perfect,Logic,Rap/Hip Hop
Sunday Best,Surfaces,Pop
Titanic,Juice WRLD,Rap/Hip Hop
Stay High,Juice WRLD,Rap/Hip Hop
Bad Energy,Juice WRLD,Rap/Hip Hop
The Scotts,THE SCOTTS,Rap/Hip Hop
Tell Me U Luv Me,Juice WRLD,Rap/Hip Hop
Up Up And Away,Juice WRLD,Rap/Hip Hop
Fighting Demons,Juice WRLD,Rap/Hip Hop
Does To Me,Luke Combs,Country
Man Of The Year,Juice WRLD,Rap/Hip Hop
Can't Die,Juice WRLD,Rap/Hip Hop
Chicago Freestyle,Drake,Rap/Hip Hop
Flex,Polo G,Rap/Hip Hop
Screw Juice,Juice WRLD,Rap/Hip Hop
Enjoy Yourself,Pop Smoke,Rap/Hip Hop
The Adventures Of Moon Man & Slim Shady,Kid Cudi,Rap/Hip Hop
I Want It,Juice WRLD,Rap/Hip Hop
Gangstas,Pop Smoke,Rap/Hip Hop
Let It Go,Summer Walker,R&B
My Affection,Summer Walker,R&B
Aim For The Moon,Pop Smoke,Rap/Hip Hop
Beer Can't Fix,Thomas Rhett,Country
Here And Now,Kenny Chesney,Country
44 Bulldog,Pop Smoke,Rap/Hip Hop
Gooba,6ix9ine,Rap/Hip Hop
Dior,Pop Smoke,Rap/Hip Hop
High Fashion,Roddy Ricch,Rap/Hip Hop
Yea Yea,Pop Smoke,Rap/Hip Hop
Make It Rain,Pop Smoke,Rap/Hip Hop
Snitchin,Pop Smoke,
Bad Bitch From Tokyo,Pop Smoke,Rap/Hip Hop
Creature,Pop Smoke,Rap/Hip Hop
West Coast Shit,Pop Smoke,Rap/Hip Hop
P*$$y Fairy,Jhene Aiko,R&B
Wash Us In The Blood,Kanye West,Rap/Hip Hop
Diana,Pop Smoke,Rap/Hip Hop
Tunnel Vision,Pop Smoke,Rap/Hip Hop
Trollz,6ix9ine,Rap/Hip Hop
After A Few,Travis Denning,
How You Like That,BLACKPINK,Asian Music
Yo Perreo Sola,Bad Bunny,Reggaeton
In Between,Scotty McCreery,Country
YaYa,6ix9ine,
Memories,Maroon 5,Pop
Nobody But You,Blake Shelton Duet,
Hot Girl Bummer,blackbear,Pop
Black Parade,Beyonce,Rap/Hip Hop
Know My Rights,6LACK,R&B
Daisies,Katy Perry,Pop
Grace,Lil Baby,Rap/Hip Hop
Believe It,PARTYNEXTDOOR,R&B
In Your Eyes,The Weeknd,R&B
Stick That In Your Country Song,Eric Church,Country
My Truck,Breland,Country
X,Jonas Brothers,Pop
Shotta Flow 5,NLE Choppa,Rap/Hip Hop
I Hope You're Happy Now,Carly Pearce,Country
Everything I Wanted,Billie Eilish,Alternative
Snow On Tha Bluff,J. Cole,Rap/Hip Hop
Bleed,A Boogie Wit da Hoodie,Rap/Hip Hop
Tommy Lee,Tyla Yaweh,Rap/Hip Hop
Level Of Concern,twenty one pilots,Alternative
One Shot,YoungBoy Never Broke Again,Rap/Hip Hop
Need Me,J.I The Prince Of N.Y,Rap/Hip Hop
All In,Lil Baby,Rap/Hip Hop
July,Noah Cyrus,Pop
Heartless,Diplo Presents Thomas Wesley,
Ride It.,Regard,Dance
Otherside Of America,Meek Mill,Rap/Hip Hop
Drinking Alone,Carrie Underwood,Country
Deep End Freestyle,Sleepy Hallow,Rap/Hip Hop
The Man Who Loves You The Most,Zac Brown Band,Country
My Oh My,Camila Cabello,Pop
Dance Monkey,Tones,Alternative
Out West,JACKBOYS,Rap/Hip Hop
Sour Candy,Lady Gaga,Pop
Turks,NAV,Rap/Hip Hop
Cooler Than A Bitch,Gunna,Rap/Hip Hop
That Way,Lil Uzi Vert,Rap/Hip Hop
Hard Days,Brantley Gilbert,Country
Catch,Brett Young,Country
Trillionaire,Future,Rap/Hip Hop
Worldwide Beautiful,Kane Brown,Country
Stupid Love,Lady Gaga,Pop
TKN,Rosalia,Pop
Godzilla,Eminem,Rap/Hip Hop
T.D,Lil Yachty,Rap/Hip Hop
Alice,Lady Gaga,Pop
Hasta Que Dios Diga,Anuel AA,Reggaeton
Lose Somebody,Kygo,Electro
Sigues Con El,Arcangel,Latin Music
Solitaires,Future,Rap/Hip Hop
RITMO,Black Eyed Peas,Dance
Sum 2 Prove,Lil Baby,Rap/Hip Hop
Top Floor,Gunna,Rap/Hip Hop
Wunna,Gunna,Rap/Hip Hop
Blindfold,Gunna,Rap/Hip Hop
SkyBox,Gunna,Rap/Hip Hop
Argentina,Gunna,Rap/Hip Hop
Met Gala,Gunna,Rap/Hip Hop
Daechwita,Agust D,Asian Music
Nasty Girl / On Camera,Gunna,Rap/Hip Hop
MOTW,Gunna,Rap/Hip Hop
Gimmick,Gunna,Rap/Hip Hop
Go Stupid,Polo G,Rap/Hip Hop
Be Something,Polo G,Rap/Hip Hop
Feigning,Gunna,Rap/Hip Hop
Someone You Loved,Lewis Capaldi,Alternative
Ballin',Mustard,Rap/Hip Hop
Trapped In The Sun,Future,Rap/Hip Hop
All Bad,Future,Rap/Hip Hop
Hard To Choose One,Future,Rap/Hip Hop
Ridin Strikers,Future,Rap/Hip Hop
Hitek Tek,Future,Rap/Hip Hop
Too Comfortable,Future,Rap/Hip Hop
Posted With Demons,Future,Rap/Hip Hop
Touch The Sky,Future,Rap/Hip Hop
One Of My,Future,Rap/Hip Hop
Harlem Shake,Future,Rap/Hip Hop
Pain 1993,Drake,Rap/Hip Hop
Don't Believe The Hype,Polo G,Rap/Hip Hop
Beautiful Pain,Polo G,Rap/Hip Hop
33,Polo G,Rap/Hip Hop
I Know,Polo G,Rap/Hip Hop
Me Vs Me,Moneybagg Yo,Rap/Hip Hop
Heart On Ice,Rod Wave,Rap/Hip Hop
Can I,Kehlani,R&B
Zoo York,Lil Tjay,Rap/Hip Hop
Toxic,Kehlani,R&B
I'm Ready,Sam Smith,Pop
More Hearts Than Mine,Ingrid Andress,Country
I Love Me,Demi Lovato,Pop
D4L,Future,Rap/Hip Hop
Change Your Life,Kehlani,R&B
Desires,Drake,Rap/Hip Hop
Jump,DaBaby,Rap/Hip Hop
Six Feet Apart,Luke Combs,Country
Viral Moment,Lil Durk,Rap/Hip Hop
Homemade,Jake Owen,Country
Time Flies,Drake,Rap/Hip Hop
Slow Dance In A Parking Lot,Jordan Davis,Country
You Should Be Sad,Halsey,Alternative
Demons,Drake,Rap/Hip Hop
Not You Too,Drake,Rap/Hip Hop
Deep Pockets,Drake,Rap/Hip Hop
When To Say When,Drake,Rap/Hip Hop
Landed,Drake,Rap/Hip Hop
From Florida With Love,Drake,Rap/Hip Hop
Losses,Drake,Rap/Hip Hop
War,Drake,Rap/Hip Hop
Social Distancing,Lil Baby,Rap/Hip Hop
Slide,H.E.R.,R&B
Low Down,Lil Baby,Rap/Hip Hop
Humble,Lil Baby,Rap/Hip Hop
Heatin Up,Lil Baby,Rap/Hip Hop
Come Thru,Summer Walker,R&B
Find My Way,DaBaby,Rap/Hip Hop
Roxanne,Arizona Zervas,Rap/Hip Hop
Heartless,The Weeknd,R&B
HIGHEST IN THE ROOM,Travis Scott,Rap/Hip Hop
"10,000 Hours",Dan + Shay,Country
Sasuke,Lil Uzi Vert,Rap/Hip Hop
Ain't Easy,YoungBoy Never Broke Again,Rap/Hip Hop
Diamonds,YoungBoy Never Broke Again,Rap/Hip Hop
Myron,Lil Uzi Vert,Rap/Hip Hop
Captain Hook,Megan Thee Stallion,Rap/Hip Hop
Bout My Business,YoungBoy Never Broke Again,Rap/Hip Hop
Rough Ryder,YoungBoy Never Broke Again,Rap/Hip Hop
Underdog,Alicia Keys,R&B
NASTY,DaBaby,Rap/Hip Hop
PTSD,G Herbo,Rap/Hip Hop
Thug Of Spades,YoungBoy Never Broke Again,Rap/Hip Hop
Safaera,Bad Bunny,Reggaeton
@ MEH,Playboi Carti,Rap/Hip Hop
BOP,DaBaby,Rap/Hip Hop
PICK UP,DaBaby,Rap/Hip Hop
No Guidance,Chris Brown,R&B
LIGHTSKIN SH*T,DaBaby,Rap/Hip Hop
BEST ON EARTH,Russ,Rap/Hip Hop
CAN'T STOP,DaBaby,Rap/Hip Hop
BLAME IT ON BABY,DaBaby,Rap/Hip Hop
SAD SHIT,DaBaby,
Tusa,Karol G,Rap/Hip Hop
DROP,DaBaby,Rap/Hip Hop
TALK ABOUT IT,DaBaby,Rap/Hip Hop
CHAMPION,DaBaby,Rap/Hip Hop
I Dare You,Kelly Clarkson,Pop
Broke In A Minute,Tory Lanez,Rap/Hip Hop
Suicidal,YNW Melly,Rap/Hip Hop
Stupid Again,Tory Lanez,Rap/Hip Hop
Boyfriend,Selena Gomez,Pop
The Other Side,SZA,Kids
What She Wants Tonight,Luke Bryan,Country
DND,Polo G,Rap/Hip Hop
Ridin' Roads,Dustin Lynch,Country
The Man,Taylor Swift,
Oprah's Bank Account,Lil Yachty,Rap/Hip Hop
P2,Lil Uzi Vert,Rap/Hip Hop
Yummy,Justin Bieber,Pop
B.I.T.C.H.,Megan Thee Stallion,Rap/Hip Hop
Boss Bitch,Doja Cat,Pop
Homesick,Kane Brown,Country
Fuck The World,Rod Wave,Rap/Hip Hop
Pray 4 Love,Rod Wave,Rap/Hip Hop
Thief In The Night,Rod Wave,Rap/Hip Hop
Tycoon,Future,Rap/Hip Hop
I Remember,Rod Wave,Rap/Hip Hop
The Greatest,Rod Wave,Rap/Hip Hop
Ribbon In The Sky,Rod Wave,Rap/Hip Hop
Last Time I Say Sorry,Kane Brown,Country
After Hours,The Weeknd,
Thug Life,Rod Wave,Rap/Hip Hop
What A Man Gotta Do,Jonas Brothers,Pop
No Weakness,Rod Wave,Rap/Hip Hop
Woah,Lil Baby,Rap/Hip Hop
Loyal,PARTYNEXTDOOR,R&B
Know Your Worth,Khalid,Pop
Physical,Dua Lipa,Pop
Make No Sense,YoungBoy Never Broke Again,Rap/Hip Hop
La Dificil,Bad Bunny,Reggaeton
Si Veo A Tu Mama,Bad Bunny,Reggaeton
Vete,Bad Bunny,Reggaeton
Baby Pluto,Lil Uzi Vert,Rap/Hip Hop
Into The Unknown,Idina Menzel,Films/Games
Alone Again,The Weeknd,R&B
Scared To Live,The Weeknd,R&B
Hardest To Love,The Weeknd,R&B
Too Late,The Weeknd,R&B
Snowchild,The Weeknd,R&B
Escape From LA,The Weeknd,R&B
Faith,The Weeknd,R&B
Lose You To Love Me,Selena Gomez,Pop
homecoming queen?,Kelsea Ballerini,Country
Repeat After Me,The Weeknd,
Until I Bleed Out,The Weeknd,R&B
To Die For,Sam Smith,Pop
Bean,Lil Uzi Vert,Rap/Hip Hop
Lo Mein,Lil Uzi Vert,Rap/Hip Hop
Yessirskiii,Lil Uzi Vert,Rap/Hip Hop
The Other Girl,Kelsea Ballerini,Country
Good As Hell,Lizzo,Pop
Lotus,Lil Uzi Vert,Rap/Hip Hop
Silly Watch,Lil Uzi Vert,Rap/Hip Hop
Wassup,Lil Uzi Vert,Rap/Hip Hop
Strawberry Peels,Lil Uzi Vert,Rap/Hip Hop
Moon Relate,Lil Uzi Vert,Rap/Hip Hop
I Can Show You,Lil Uzi Vert,Rap/Hip Hop
We Back,Jason Aldean,Country
Trap This Way,Lil Uzi Vert,Rap/Hip Hop
I Wish Grandpas Never Died,Riley Green,Country
Leaders,Lil Uzi Vert,Rap/Hip Hop
No Auto,Lil Uzi Vert,Rap/Hip Hop
Homecoming,Lil Uzi Vert,Rap/Hip Hop
Come This Way,Lil Uzi Vert,Rap/Hip Hop
Got The Guap,Lil Uzi Vert,Rap/Hip Hop
Money Spread,Lil Uzi Vert,Rap/Hip Hop
Cardigan,Don Toliver,Rap/Hip Hop
Futsal Shuffle 2020,Lil Uzi Vert,Rap/Hip Hop
Prices,Lil Uzi Vert,Rap/Hip Hop
POP,Lil Uzi Vert,Rap/Hip Hop
Bigger Than Life,Lil Uzi Vert,Rap/Hip Hop
Celebration Station,Lil Uzi Vert,Rap/Hip Hop
You Better Move,Lil Uzi Vert,Rap/Hip Hop
I'm Sorry,Lil Uzi Vert,Rap/Hip Hop
Venetia,Lil Uzi Vert,Rap/Hip Hop
Chrome Heart Tags,Lil Uzi Vert,Rap/Hip Hop
Bust Me,Lil Uzi Vert,Rap/Hip Hop
Happiness Over Everything,Jhene Aiko,R&B
Commercial,Lil Baby,Rap/Hip Hop
Juicy,Doja Cat,R&B
Secure The Bag,Lil Uzi Vert,Rap/Hip Hop
Urgency,Lil Uzi Vert,Rap/Hip Hop
Ignorantes,Bad Bunny,Reggaeton
Triggered,Jhene Aiko,R&B
La Santa,Bad Bunny,Reggaeton
None Of Your Concern,Jhene Aiko,R&B
SUGAR,BrockHampton,Rap/Hip Hop
Live Off My Closet,Lil Baby,Rap/Hip Hop
Senorita,Shawn Mendes,Pop
Bad Guy,Billie Eilish,Alternative
Kinfolks,Sam Hunt,Country
One Man Band,Old Dominion,Country
Get Ugly,Lil Baby,Rap/Hip Hop
No Sucker,Lil Baby,Rap/Hip Hop
How,Lil Baby,Rap/Hip Hop
Pero Ya No,Bad Bunny,Reggaeton
Forever,Lil Baby,Rap/Hip Hop
ON,BTS,Asian Music
Lil Top,YoungBoy Never Broke Again,Rap/Hip Hop
Numbers,A Boogie Wit da Hoodie,Rap/Hip Hop
Same Thing,Lil Baby,Rap/Hip Hop
Make Me Want To,Jimmie Allen,Country
Bichiyal,Bad Bunny,Reggaeton
We Should,Lil Baby,Rap/Hip Hop
Solia,Bad Bunny,Reggaeton
No Time To Die,Billie Eilish,Alternative
Esta Cabron Ser Yo,Bad Bunny,Reggaeton
Can't Explain,Lil Baby,Rap/Hip Hop
Trampoline,SHAED,Alternative
Sucker,Jonas Brothers,Pop
I Don't Care,Ed Sheeran,Pop
Red Eye,YoungBoy Never Broke Again,Rap/Hip Hop
Only Human,Jonas Brothers,Pop
Fine By Time,YoungBoy Never Broke Again,Rap/Hip Hop
Bad Bad,YoungBoy Never Broke Again,Rap/Hip Hop
Knocked Off,YoungBoy Never Broke Again,Rap/Hip Hop
Forever,Justin Bieber,Pop
Dive Bar,Garth Brooks,
RIP Lil Phat,YoungBoy Never Broke Again,Rap/Hip Hop
TOES,DaBaby,Rap/Hip Hop
My Time,BTS,Asian Music
Long RD,YoungBoy Never Broke Again,Rap/Hip Hop
South Of The Border,Ed Sheeran,Pop
Filter,BTS,Asian Music
Bat Man,YoungBoy Never Broke Again,Rap/Hip Hop
Shake The Room,Pop Smoke,Rap/Hip Hop
Rare,Selena Gomez,Pop
Me And My Guitar,A Boogie Wit da Hoodie,Rap/Hip Hop
Feel Me,Selena Gomez,Pop
Truth Hurts,Lizzo,Pop
g n f,Migos,
Bandit,Juice WRLD,Rap/Hip Hop
Might Not Give Up,A Boogie Wit da Hoodie,Rap/Hip Hop
Thug Love,A Boogie Wit da Hoodie,Rap/Hip Hop
Stain,A Boogie Wit da Hoodie,Rap/Hip Hop
Yikes,Nicki Minaj,Rap/Hip Hop
Come Around Me,Justin Bieber,Pop
King Of My City,A Boogie Wit da Hoodie,Rap/Hip Hop
Cinderella Story,A Boogie Wit da Hoodie,Rap/Hip Hop
Habitual,Justin Bieber,Pop
All Around Me,Justin Bieber,Pop
Hot,Young Thug,Rap/Hip Hop
Even Though I'm Leaving,Luke Combs,Country
Heartache Medication,Jon Pardi,Country
I Do It,Lil Wayne,Rap/Hip Hop
VIBEZ,DaBaby,Rap/Hip Hop
Run,Joji,Alternative
Rodeo,Lil Nas,Alternative
KEII,Anuel AA,Reggaeton
No Idea,Don Toliver,Rap/Hip Hop
Believe,Meek Mill,Rap/Hip Hop
Start Wit Me,Roddy Ricch,Rap/Hip Hop
Easy,DaniLeigh,Rap/Hip Hop
No Judgement,Niall Horan,Pop
Jerry Sprunger,Tory Lanez,R&B
ORANGE SODA,Baby Keem,Rap/Hip Hop
Only The Young,Taylor Swift,
Anyone,Demi Lovato,Pop
Mahogany,Lil Wayne,Rap/Hip Hop
Letter To Nipsey,Meek Mill,Rap/Hip Hop
Good News,Mac Miller,Rap/Hip Hop
Mama Mia,Lil Wayne,Rap/Hip Hop
