song,artist,song_clean,artist_clean
I'm Gonna Be,Post Malone,I'm Gonna Be,Post Malone
Mood Swings,A Boogie Wit da Hoodie,Mood Swings,A Boogie Wit da Hoodie
All To Myself,Dan + Shay,All To Myself,Dan + Shay
Allergic,Post Malone,Allergic,Post Malone
Press,Cardi B,Press,Cardi B
"1, 2 Many",Luke Combs & Brooks & Dunn,"1, 2 Many",Luke Combs
"Hey Look Ma, I Made It",Panic! At The Disco,"Hey Look Ma, I Made It",Panic! At The Disco
Myself,Post Malone,Myself,Post Malone
I Know,Post Malone,I Know,Post Malone
Internet,Post Malone,Internet,Post Malone
Buy My Own Drinks,Runaway June,Buy My Own Drinks,Runaway June
Easier,5 Seconds Of Summer,Easier,5 Seconds Of Summer
Baguettes In The Face,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",Baguettes In The Face,Mustard
Go Loko,"YG, Tyga & Jon Z",Go Loko,YG
Doin' Time,Lana Del Rey,Doin' Time,Lana Del Rey
7 Rings,Ariana Grande,7 Rings,Ariana Grande
Whiskey Glasses,Morgan Wallen,Whiskey Glasses,Morgan Wallen
God's Country,Blake Shelton,God's Country,Blake Shelton
Shotta Flow,NLE Choppa,Shotta Flow,NLE Choppa
ME!,Taylor Swift Featuring Brendon Urie,ME!,Taylor Swift
Babushka Boi,A$AP Rocky,Babushka Boi,A$AP Rocky
Cruel Summer,Taylor Swift,Cruel Summer,Taylor Swift
I Forgot That You Existed,Taylor Swift,I Forgot That You Existed,Taylor Swift
Call You Mine,The Chainsmokers & Bebe Rexha,Call You Mine,The Chainsmokers
Out Of Luck,Lil Tecca,Out Of Luck,Lil Tecca
Shots,Lil Tecca,Shots,Lil Tecca
Juice,Lizzo,Juice,Lizzo
Bezerk,Big Sean Featuring A$AP Ferg & Hit-Boy,Bezerk,Big Sean
God Only Knows,for KING & COUNTRY,God Only Knows,for KING
Love Me,Lil Tecca,Love Me,Lil Tecca
Soltera,"Lunay, Daddy Yankee & Bad Bunny",Soltera,Lunay
The Archer,Taylor Swift,The Archer,Taylor Swift
Paper Rings,Taylor Swift,Paper Rings,Taylor Swift
Miss Americana & The Heartbreak Prince,Taylor Swift,Miss Americana & The Heartbreak Prince,Taylor Swift
I Think He Knows,Taylor Swift,I Think He Knows,Taylor Swift
Cornelia Street,Taylor Swift,Cornelia Street,Taylor Swift
London Boy,Taylor Swift,London Boy,Taylor Swift
Soon You'll Get Better,Taylor Swift Featuring Dixie Chicks,Soon You'll Get Better,Taylor Swift
Death By A Thousand Cuts,Taylor Swift,Death By A Thousand Cuts,Taylor Swift
Afterglow,Taylor Swift,Afterglow,Taylor Swift
False God,Taylor Swift,False God,Taylor Swift
Daylight,Taylor Swift,Daylight,Taylor Swift
Raised On Country,Chris Young,Raised On Country,Chris Young
It's Nice To Have A Friend,Taylor Swift,It's Nice To Have A Friend,Taylor Swift
Never Really Over,Katy Perry,Never Really Over,Katy Perry
EARFQUAKE,"Tyler, The Creator",EARFQUAKE,Tyler
Clout,Offset Featuring Cardi B,Clout,Offset
What's The Move,Young Thug Featuring Lil Uzi Vert,What's The Move,Young Thug
Just How It Is,Young Thug,Just How It Is,Young Thug
Surf,Young Thug Featuring Gunna,Surf,Young Thug
Sup Mate,Young Thug Featuring Future,Sup Mate,Young Thug
Won't Be Late,Swae Lee Featuring Drake,Won't Be Late,Swae Lee
Light It Up,Young Thug,Light It Up,Young Thug
Lil Baby,Young Thug,Lil Baby,Young Thug
Mac 10,Trippie Redd Featuring Lil Baby & Lil Duke,Mac 10,Trippie Redd
Some Of It,Eric Church,Some Of It,Eric Church
Ecstasy,Young Thug Featuring Machine Gun Kelly,Ecstasy,Young Thug
Uno,Ambjaay,Uno,Ambjaay
Daddy,Blueface & Rich The Kid,Daddy,Blueface
Takeaway,The Chainsmokers & ILLENIUM Featuring Lennon Stella,Takeaway,The Chainsmokers
Happier,Marshmello & Bastille,Happier,Marshmello
Sweet But Psycho,Ava Max,Sweet But Psycho,Ava Max
Better,Khalid,Better,Khalid
Going Bad,Meek Mill Featuring Drake,Going Bad,Meek Mill
Talk You Out Of It,Florida Georgia Line,Talk You Out Of It,Florida Georgia Line
Gold Roses,Rick Ross Featuring Drake,Gold Roses,Rick Ross
Just Us,DJ Khaled Featuring SZA,Just Us,DJ Khaled
Small Talk,Katy Perry,Small Talk,Katy Perry
Night Falls,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",Night Falls,Dove Cameron
Snake Skin,Trippie Redd,Snake Skin,Trippie Redd
24/7,Meek Mill Featuring Ella Mai,24/7,Meek Mill
Love Ain't,Eli Young Band,Love Ain't,Eli Young Band
Sanguine Paradise,Lil Uzi Vert,Sanguine Paradise,Lil Uzi Vert
Tap,NAV Featuring Meek Mill,Tap,NAV
La La Land,Bryce Vine Featuring YG,La La Land,Bryce Vine
Que Pretendes,J Balvin & Bad Bunny,Que Pretendes,J Balvin
Single Again,Big Sean,Single Again,Big Sean
Worth It,YK Osiris,Worth It,YK Osiris
Shallow,Lady Gaga & Bradley Cooper,Shallow,Lady Gaga
Trust Issues,Drake,Trust Issues,Drake
How About Now,Drake,How About Now,Drake
The Motion,Drake,The Motion,Drake
Dreams Money Can Buy,Drake,Dreams Money Can Buy,Drake
Club Paradise,Drake,Club Paradise,Drake
Antisocial,Ed Sheeran & Travis Scott,Antisocial,Ed Sheeran
Fear Inoculum,Tool,Fear Inoculum,Tool
Days In The East,Drake,Days In The East,Drake
Before I Let Go,Beyonce,Before I Let Go,Beyonce
High Hopes,Panic! At The Disco,High Hopes,Panic! At The Disco
Sicko Mode,Travis Scott,Sicko Mode,Travis Scott
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,Cross Me,Ed Sheeran
Leave Me Alone,NF,Leave Me Alone,NF
The Search,NF,The Search,NF
MEGATRON,Nicki Minaj,MEGATRON,Nicki Minaj
All Day Long,Chance The Rapper Featuring John Legend,All Day Long,Chance The Rapper
Do You Remember,Chance The Rapper Featuring Death Cab For Cutie,Do You Remember,Chance The Rapper
Calma,Pedro Capo X Farruko,Calma,Pedro Capo
Cool,Jonas Brothers,Cool,Jonas Brothers
Nightmare,Halsey,Nightmare,Halsey
Rumor,Lee Brice,Rumor,Lee Brice
Act Up,City Girls,Act Up,City Girls
GIRL,Maren Morris,GIRL,Maren Morris
Con Calma,Daddy Yankee & Katy Perry Featuring Snow,Con Calma,Daddy Yankee
Middle Child,J. Cole,Middle Child,J. Cole
Brown Skin Girl,"Beyonce, SAINt JHN & Wizkid Featuring Blue Ivy Carter",Brown Skin Girl,Beyonce
Under The Sun,"Dreamville Featuring J. Cole, Lute & DaBaby",Under The Sun,Dreamville
Mood 4 Eva,"Beyonce, JAY-Z & Childish Gambino Featuring Oumou Sangare",Mood 4 Eva,Beyonce
Pure Water,Mustard & Migos,Pure Water,Mustard
Remember The Name,Ed Sheeran Featuring Eminem & 50 Cent,Remember The Name,Ed Sheeran
Walk Me Home,P!nk,Walk Me Home,P!nk
Look What God Gave Her,Thomas Rhett,Look What God Gave Her,Thomas Rhett
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars,BLOW,Ed Sheeran
Like A Rodeo,Kane Brown,Like A Rodeo,Kane Brown
Spirit,Beyonce,Spirit,Beyonce
Best Part Of Me,Ed Sheeran Featuring YEBBA,Best Part Of Me,Ed Sheeran
Wake Up,Travis Scott,Wake Up,Travis Scott
Eastside,"benny blanco, Halsey & Khalid",Eastside,benny blanco
Look Back At It,A Boogie Wit da Hoodie,Look Back At It,A Boogie Wit da Hoodie
Down Bad,"Dreamville Featuring JID, Bas, J. Cole, EARTHGANG & Young Nudy",Down Bad,Dreamville
Good As You,Kane Brown,Good As You,Kane Brown
Costa Rica,"Dreamville Featuring Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God",Costa Rica,Dreamville
Out The Mud,Lil Baby Featuring Future,Out The Mud,Lil Baby
Girls Need Love,Summer Walker X Drake,Girls Need Love,Summer Walker
Mother's Daughter,Miley Cyrus,Mother's Daughter,Miley Cyrus
Ocean Eyes,Billie Eilish,Ocean Eyes,Billie Eilish
Don't Check On Me,Chris Brown Featuring Justin Bieber & Ink,Don't Check On Me,Chris Brown
Homicide,Logic Featuring Eminem,Homicide,Logic
Please Me,Cardi B & Bruno Mars,Please Me,Cardi B
When I Grow Up,NF,When I Grow Up,NF
Eyes On You,Chase Rice,Eyes On You,Chase Rice
Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",Bacc At It Again,Yella Beezy
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
Here With Me,Marshmello Featuring CHVRCHES,Here With Me,Marshmello
Love Someone,Brett Eldredge,Love Someone,Brett Eldredge
Big Ole Freak,Megan Thee Stallion,Big Ole Freak,Megan Thee Stallion
You Stay,"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",You Stay,DJ Khaled
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,Baila Baila Baila,Ozuna
Omerta,Drake,Omerta,Drake
Summer Days,Martin Garrix Featuring Macklemore & Patrick Stump,Summer Days,Martin Garrix
When The Party's Over,Billie Eilish,When The Party's Over,Billie Eilish
Envy Me,Calboy,Envy Me,Calboy
Miss Me More,Kelsea Ballerini,Miss Me More,Kelsea Ballerini
Sanctuary,Joji,Sanctuary,Joji
Rescue Me,Marshmello Featuring A Day To Remember,Rescue Me,Marshmello
Te Robare,Nicky Jam X Ozuna,Te Robare,Nicky Jam
Racks In The Middle,Nipsey Hussle Featuring Roddy Ricch & Hit-Boy,Racks In The Middle,Nipsey Hussle
Beautiful Crazy,Luke Combs,Beautiful Crazy,Luke Combs
Close Friends,Lil Baby,Close Friends,Lil Baby
Bury A Friend,Billie Eilish,Bury A Friend,Billie Eilish
Put A Date On It,Yo Gotti Featuring Lil Baby,Put A Date On It,Yo Gotti
Heaven,Avicii,Heaven,Avicii
Please Tell Me,Future,Please Tell Me,Future
On My Way To You,Cody Johnson,On My Way To You,Cody Johnson
Amor Genuino,Ozuna,Amor Genuino,Ozuna
XanaX Damage,Future,XanaX Damage,Future
Government Official,Future,Government Official,Future
Murder On My Mind,YNW Melly,Murder On My Mind,YNW Melly
Isis,Joyner Lucas Featuring Logic,Isis,Joyner Lucas
Boy With Luv,BTS Featuring Halsey,Boy With Luv,BTS
Shut Up About Politics,John Rich Featuring The Five,Shut Up About Politics,John Rich
Under Enemy Arms,Trippie Redd,Under Enemy Arms,Trippie Redd
Night Shift,Jon Pardi,Night Shift,Jon Pardi
A Lot,21 Savage,A Lot,21 Savage
Thotiana,Blueface,Thotiana,Blueface
Higher,DJ Khaled Featuring Nipsey Hussle & John Legend,Higher,DJ Khaled
Who Do You Love,The Chainsmokers Featuring 5 Seconds Of Summer,Who Do You Love,The Chainsmokers
Don't Call Me Up,Mabel,Don't Call Me Up,Mabel
Earth,Lil Dicky,Earth,Lil Dicky
HP,Maluma,HP,Maluma
Mixed Personalities,YNW Melly Featuring Kanye West,Mixed Personalities,YNW Melly
Paradise,Bazzi,Paradise,Bazzi
Girls Like You,Maroon 5 Featuring Cardi B,Girls Like You,Maroon 5
I Think,"Tyler, The Creator",I Think,Tyler
Celebrate,DJ Khaled Featuring Travis Scott & Post Malone,Celebrate,DJ Khaled
Jealous,"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",Jealous,DJ Khaled
Running Out Of Time,"Tyler, The Creator",Running Out Of Time,Tyler
Igor's Theme,"Tyler, The Creator",Igor's Theme,Tyler
New Magic Wand,"Tyler, The Creator",New Magic Wand,Tyler
A Boy Is A Gun,"Tyler, The Creator",A Boy Is A Gun,Tyler
What's Good,"Tyler, The Creator",What's Good,Tyler
Puppet,"Tyler, The Creator",Puppet,Tyler
Weather The Storm,DJ Khaled Featuring Meek Mill & Lil Baby,Weather The Storm,DJ Khaled
Here Tonight,Brett Young,Here Tonight,Brett Young
Be Alright,Dean Lewis,Be Alright,Dean Lewis
Drip Too Hard,Lil Baby & Gunna,Drip Too Hard,Lil Baby
"Thank U, Next",Ariana Grande,"Thank U, Next",Ariana Grande
Baby Shark,Pinkfong,Baby Shark,Pinkfong
Make It Sweet,Old Dominion,Make It Sweet,Old Dominion
Shot Clock,Ella Mai,Shot Clock,Ella Mai
I'm So Tired...,Lauv & Troye Sivan,I'm So Tired...,Lauv
You Should See Me In A Crown,Billie Eilish,You Should See Me In A Crown,Billie Eilish
SOS,Avicii Featuring Aloe Blacc,SOS,Avicii
Wish You Were Gay,Billie Eilish,Wish You Were Gay,Billie Eilish
That's A Rack,Lil Uzi Vert,That's A Rack,Lil Uzi Vert
Rule The World,2 Chainz Featuring Ariana Grande,Rule The World,2 Chainz
Die Young,Roddy Ricch,Die Young,Roddy Ricch
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me,Ellie Goulding
You Say,Lauren Daigle,You Say,Lauren Daigle
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,A Boogie Wit da Hoodie
Power Is Power,"SZA, The Weeknd & Travis Scott",Power Is Power,SZA
Middle Child,PnB Rock & XXXTENTACION,Middle Child,PnB Rock
I've Been Waiting,Lil Peep & iLoveMakonnen Featuring Fall Out Boy,I've Been Waiting,Lil Peep
Secreto,Anuel AA & Karol G,Secreto,Anuel AA
Faucet Failure,Ski Mask The Slump God,Faucet Failure,Ski Mask The Slump God
Youngblood,5 Seconds Of Summer,Youngblood,5 Seconds Of Summer
Floating,ScHoolboy Q Featuring 21 Savage,Floating,ScHoolboy Q
CHopstix,ScHoolboy Q + Travis Scott,CHopstix,ScHoolboy Q + Travis Scott
Light It Up,"Marshmello, Tyga & Chris Brown",Light It Up,Marshmello
Numb Numb Juice,ScHoolboy Q,Numb Numb Juice,ScHoolboy Q
Love Me Anyway,P!nk Featuring Chris Stapleton,Love Me Anyway,P!nk
Stop Snitching,YG,Stop Snitching,YG
Kill This Love,BLACKPINK,Kill This Love,BLACKPINK
Better Now,Post Malone,Better Now,Post Malone
Bad Liar,Imagine Dragons,Bad Liar,Imagine Dragons
Slide,French Montana Featuring Blueface & Lil Tjay,Slide,French Montana
Saturday Nights,Khalid & Kane Brown,Saturday Nights,Khalid
Pure Cocaine,Lil Baby,Pure Cocaine,Lil Baby
This Is It,Scotty McCreery,This Is It,Scotty McCreery
My Strange Addiction,Billie Eilish,My Strange Addiction,Billie Eilish
Let Me Down Slowly,Alec Benjamin + Alessia Cara,Let Me Down Slowly,Alec Benjamin + Alessia Cara
Xanny,Billie Eilish,Xanny,Billie Eilish
One That Got Away,Michael Ray,One That Got Away,Michael Ray
MIA,Bad Bunny Featuring Drake,MIA,Bad Bunny
Tequila,Dan + Shay,Tequila,Dan + Shay
Money,Cardi B,Money,Cardi B
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May",Blue On Black,Five Finger Death Punch
Double Up,Nipsey Hussle Featuring Belly & DOM KENNEDY,Double Up,Nipsey Hussle
Undrunk,FLETCHER,Undrunk,FLETCHER
Last Time That I Checc'd,Nipsey Hussle Featuring YG,Last Time That I Checc'd,Nipsey Hussle
There Was This Girl,Riley Green,There Was This Girl,Riley Green
My Bad,Khalid,My Bad,Khalid
Outta My Head,Khalid With John Mayer,Outta My Head,Khalid
Monopoly,Ariana Grande & Victoria Monet,Monopoly,Ariana Grande
Don't Pretend,Khalid x SAFE,Don't Pretend,Khalid
Bad Luck,Khalid,Bad Luck,Khalid
Inmortal,Aventura,Inmortal,Aventura
Dedication,Nipsey Hussle Featuring Kendrick Lamar,Dedication,Nipsey Hussle
Victory Lap,Nipsey Hussle Featuring Stacy Barthe,Victory Lap,Nipsey Hussle
ZEZE,Kodak Black Featuring Travis Scott & Offset,ZEZE,Kodak Black
I Love You,Billie Eilish,I Love You,Billie Eilish
Ilomilo,Billie Eilish,Ilomilo,Billie Eilish
Listen Before I Go,Billie Eilish,Listen Before I Go,Billie Eilish
8,Billie Eilish,8,Billie Eilish
Twerk,City Girls Featuring Cardi B,Twerk,City Girls
Lovely,Billie Eilish & Khalid,Lovely,Billie Eilish
I Can't Get Enough,"benny blanco, Tainy, Selena Gomez & J Balvin",I Can't Get Enough,benny blanco
Millionaire,Chris Stapleton,Millionaire,Chris Stapleton
Girl Like You,Jason Aldean,Girl Like You,Jason Aldean
I Like It,"Cardi B, Bad Bunny & J Balvin",I Like It,Cardi B
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,DJ Snake
Down To The Honkytonk,Jake Owen,Down To The Honkytonk,Jake Owen
Price On My Head,NAV Featuring The Weeknd,Price On My Head,NAV
Confessions Of A Dangerous Mind,Logic,Confessions Of A Dangerous Mind,Logic
Take It From Me,Jordan Davis,Take It From Me,Jordan Davis
Splashin,Rich The Kid,Splashin,Rich The Kid
I,Lil Skies,I,Lil Skies
Hear Me Calling,Juice WRLD,Hear Me Calling,Juice WRLD
Undecided,Chris Brown,Undecided,Chris Brown
Calling My Spirit,Kodak Black,Calling My Spirit,Kodak Black
Last Hurrah,Bebe Rexha,Last Hurrah,Bebe Rexha
Love Wins,Carrie Underwood,Love Wins,Carrie Underwood
Sally Walker,Iggy Azalea,Sally Walker,Iggy Azalea
Ella Quiere Beber,Anuel AA & Romeo Santos,Ella Quiere Beber,Anuel AA
Fast,Juice WRLD,Fast,Juice WRLD
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,Gucci Mane
Maze,Juice WRLD,Maze,Juice WRLD
What Makes You Country,Luke Bryan,What Makes You Country,Luke Bryan
Flaws And Sins,Juice WRLD,Flaws And Sins,Juice WRLD
Nights Like This,Kehlani Featuring Ty Dolla $ign,Nights Like This,Kehlani
Always Remember Us This Way,Lady Gaga,Always Remember Us This Way,Lady Gaga
Leave Me Alone,Flipp Dinero,Leave Me Alone,Flipp Dinero
Mo Bamba,Sheck Wes,Mo Bamba,Sheck Wes
Burn Out,Midland,Burn Out,Midland
Red Room,Offset,Red Room,Offset
Whip,2 Chainz Featuring Travis Scott,Whip,2 Chainz
Armed And Dangerous,Juice WRLD,Armed And Dangerous,Juice WRLD
Needy,Ariana Grande,Needy,Ariana Grande
Love Someone,Lukas Graham,Love Someone,Lukas Graham
Momma I Hit A Lick,2 Chainz Featuring Kendrick Lamar,Momma I Hit A Lick,2 Chainz
Backin' It Up,Pardison Fontaine Featuring Cardi B,Backin' It Up,Pardison Fontaine
Legacy,Offset Featuring Travis Scott & 21 Savage,Legacy,Offset
I'll Never Love Again,Lady Gaga,I'll Never Love Again,Lady Gaga
How Did I Get Here,Offset Featuring  J. Cole,How Did I Get Here,Offset
NASA,Ariana Grande,NASA,Ariana Grande
Outstanding,Gunna,Outstanding,Gunna
Be Like Me,Lil Pump Featuring Lil Wayne,Be Like Me,Lil Pump
3 Headed Snake,Gunna Featuring Young Thug,3 Headed Snake,Gunna
Wit It,Gunna,Wit It,Gunna
This Feeling,The Chainsmokers Featuring Kelsea Ballerini,This Feeling,The Chainsmokers
One Call,Gunna,One Call,Gunna
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus,Nothing Breaks Like A Heart,Mark Ronson
Imagine,Ariana Grande,Imagine,Ariana Grande
Lick,Offset,Lick,Offset
Bad Idea,Ariana Grande,Bad Idea,Ariana Grande
Speed It Up,Gunna,Speed It Up,Gunna
Bloodline,Ariana Grande,Bloodline,Ariana Grande
I Guess I Just Feel Like,John Mayer,I Guess I Just Feel Like,John Mayer
Same Yung N***a,Gunna Featuring Playboi Carti,Same Yung N***a,Gunna
Fake Smile,Ariana Grande,Fake Smile,Ariana Grande
Lost In The Fire,Gesaffelstein & The Weeknd,Lost In The Fire,Gesaffelstein
Ghostin,Ariana Grande,Ghostin,Ariana Grande
Sixteen,Thomas Rhett,Sixteen,Thomas Rhett
In My Head,Ariana Grande,In My Head,Ariana Grande
Body,Loud Luxury Featuring Brando,Body,Loud Luxury
365,Zedd & Katy Perry,365,Zedd
Yosemite,Travis Scott,Yosemite,Travis Scott
Make Up,Ariana Grande,Make Up,Ariana Grande
Good Girl,Dustin Lynch,Good Girl,Dustin Lynch
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,XXXTENTACION
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga,Startender,A Boogie Wit da Hoodie
Uproar,Lil Wayne,Uproar,Lil Wayne
Burning Man,Dierks Bentley Featuring Brothers Osborne,Burning Man,Dierks Bentley
You,Jacquees,You,Jacquees
Ruin My Life,Zara Larsson,Ruin My Life,Zara Larsson
Talk To Me,Tory Lanez & Rich The Kid,Talk To Me,Tory Lanez
Rainbow,Kacey Musgraves,Rainbow,Kacey Musgraves
Alone,Marshmello,Alone,Marshmello
Breathin,Ariana Grande,Breathin,Ariana Grande
Trip,Ella Mai,Trip,Ella Mai
Love Lies,Khalid & Normani,Love Lies,Khalid
Beautiful,Bazzi Featuring Camila Cabello,Beautiful,Bazzi
First Off,Future Featuring Travis Scott,First Off,Future
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,Roses,benny blanco
Keanu Reeves,Logic,Keanu Reeves,Logic
No Stylist,French Montana Featuring Drake,No Stylist,French Montana
Crushed Up,Future,Crushed Up,Future
Best Shot,Jimmie Allen,Best Shot,Jimmie Allen
Sauce!,XXXTENTACION,Sauce!,XXXTENTACION
BAD!,XXXTENTACION,BAD!,XXXTENTACION
Blue Tacoma,Russell Dickerson,Blue Tacoma,Russell Dickerson
Natural,Imagine Dragons,Natural,Imagine Dragons
Jumpin On A Jet,Future,Jumpin On A Jet,Future
Never Stop,Future,Never Stop,Future
Consequences,Camila Cabello,Consequences,Camila Cabello
Temptation,Future,Temptation,Future
Rocket Ship,Future,Rocket Ship,Future
F&N,Future,F&N,Future
Electricity,Silk City x Dua Lipa,Electricity,Silk City
Face My Fears,Hikaru Utada & Skrillex,Face My Fears,Hikaru Utada
Call The Coroner,Future,Call The Coroner,Future
She Got The Best Of Me ,Luke Combs,She Got The Best Of Me,Luke Combs
Fine China,Future & Juice WRLD,Fine China,Future
Nuketown,Ski Mask The Slump God Featuring Juice WRLD,Nuketown,Ski Mask The Slump God
Space Cadet,Metro Boomin Featuring Gunna,Space Cadet,Metro Boomin
Butterfly Doors,Lil Pump,Butterfly Doors,Lil Pump
Valuable Pain,YoungBoy Never Broke Again,Valuable Pain,YoungBoy Never Broke Again
Can't Leave Without It,21 Savage,Can't Leave Without It,21 Savage
Good Form,Nicki Minaj Featuring Lil Wayne,Good Form,Nicki Minaj
idontwannabeyouanymore,Billie Eilish,idontwannabeyouanymore,Billie Eilish
Last Shot,Kip Moore,Last Shot,Kip Moore
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy,Smile,Lil' Duval
Lost In Japan,Shawn Mendes X Zedd,Lost In Japan,Shawn Mendes
Monster,21 Savage,Monster,21 Savage
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD,Demons And Angels,A Boogie Wit da Hoodie
KIKA,6ix9ine Featuring Tory Lanez,KIKA,6ix9ine
Dip,Tyga & Nicki Minaj,Dip,Tyga
Lucky You,Eminem Featuring Joyner Lucas,Lucky You,Eminem
Drunk Me,Mitchell Tenpenny,Drunk Me,Mitchell Tenpenny
Dangerous,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,Meek Mill
Solo de Mi,Bad Bunny,Solo de Mi,Bad Bunny
whoa (mind in awe),XXXTENTACION,whoa,XXXTENTACION
All My Friends,21 Savage,All My Friends,21 Savage
Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas,John
Cozy Little Christmas,Katy Perry,Cozy Little Christmas,Katy Perry
The Christmas Song,Lauren Daigle,The Christmas Song,Lauren Daigle
Break Da Law,21 Savage,Break Da Law,21 Savage
1.5,21 Savage,1.5,21 Savage
Out For The Night,21 Savage,Out For The Night,21 Savage
Gun Smoke,21 Savage,Gun Smoke,21 Savage
ASMR,21 Savage,ASMR,21 Savage
MoshPit,Kodak Black Featuring Juice WRLD,MoshPit,Kodak Black
Testimony,Kodak Black,Testimony,Kodak Black
Gnarly,Kodak Black Featuring Lil Pump,Gnarly,Kodak Black
Uptown Vibes,Meek Mill Featuring Fabolous & Anuel AA,Uptown Vibes,Meek Mill
MAMA,6ix9ine Featuring Nicki Minaj & Kanye West,MAMA,6ix9ine
Broken,lovelytheband,Broken,lovelytheband
Taste,Tyga Featuring Offset,Taste,Tyga
Guardian Angel,XXXTENTACION,Guardian Angel,XXXTENTACION
God Is A Woman,Ariana Grande,God Is A Woman,Ariana Grande
I Don't Let Go,XXXTENTACION,I Don't Let Go,XXXTENTACION
What's Free,Meek Mill Featuring Rick Ross & JAY-Z,What's Free,Meek Mill
One Minute,XXXTENTACION Featuring Kanye West & Travis Barker,One Minute,XXXTENTACION
Train Food,XXXTENTACION,Train Food,XXXTENTACION
What Are You So Afraid Of,XXXTENTACION,What Are You So Afraid Of,XXXTENTACION
Staring At The Sky,XXXTENTACION,Staring At The Sky,XXXTENTACION
Lie,NF,Lie,NF
WAKA,6ix9ine Featuring A Boogie Wit da Hoodie,WAKA,6ix9ine
On Me,Meek Mill Featuring Cardi B,On Me,Meek Mill
Difference (Interlude),XXXTENTACION,Difference,XXXTENTACION
TIC TOC,6ix9ine Featuring Lil Baby,TIC TOC,6ix9ine
That's On Me,Yella Beezy,That's On Me,Yella Beezy
FEFE,6ix9ine Featuring Nicki Minaj & Murda Beatz,FEFE,6ix9ine
Respect The Game,Meek Mill,Respect The Game,Meek Mill
Ring,Cardi B Featuring Kehlani,Ring,Cardi B
Trauma,Meek Mill,Trauma,Meek Mill
Time,Lil Baby Featuring Meek Mill,Time,Lil Baby
Ready,Lil Baby Featuring Gunna,Ready,Lil Baby
Championships,Meek Mill,Championships,Meek Mill
Tic Tac Toe,Meek Mill Featuring Kodak Black,Tic Tac Toe,Meek Mill
Almost Slipped,Meek Mill,Almost Slipped,Meek Mill
Splash Warning,"Meek Mill Featuring Future, Roddy Ricch & Young Thug",Splash Warning,Meek Mill
Pay You Back,Meek Mill Featuring 21 Savage,Pay You Back,Meek Mill
Foot Fungus,Ski Mask The Slump God,Foot Fungus,Ski Mask The Slump God
Crush A Lot,Lil Baby,Crush A Lot,Lil Baby
Oodles O' Noodles Babies,Meek Mill,Oodles O' Noodles Babies,Meek Mill
STOOPID,6ix9ine Featuring Bobby Shmurda,STOOPID,6ix9ine
Global,Lil Baby,Global,Lil Baby
Word On The Street,Lil Baby,Word On The Street,Lil Baby
In My Feelings,Drake,In My Feelings,Drake
Lose It,Kane Brown,Lose It,Kane Brown
Yes Indeed,Lil Baby & Drake,Yes Indeed,Lil Baby
Nonstop,Drake,Nonstop,Drake
Boo'd Up,Ella Mai,Boo'd Up,Ella Mai
Topanga,Trippie Redd,Topanga,Trippie Redd
Come Out And Play,Billie Eilish,Come Out And Play,Billie Eilish
10 Freaky Girls,Metro Boomin Featuring 21 Savage,10 Freaky Girls,Metro Boomin
1400 / 999 Freestyle,Trippie Redd Featuring Juice WRLD,1400 / 999 Freestyle,Trippie Redd
I'm A Mess,Bebe Rexha,I'm A Mess,Bebe Rexha
Hangin' On,Chris Young,Hangin' On,Chris Young
Never Recover,Lil Baby & Gunna Featuring Drake,Never Recover,Lil Baby
BEBE,6ix9ine Featuring Anuel AA,BEBE,6ix9ine
Rich,Maren Morris,Rich,Maren Morris
Best Part,Daniel Caesar Featuring H.E.R.,Best Part,Daniel Caesar
