song,artist,genre
The Boys Of Summer,The Ataris,Rock
Senorita,Justin Timberlake,Pop
Ooh!,Mary J. Blige,Pop
P.I.M.P.,50 Cent,Rap/Hip Hop
Frontin',Pharrell,Rap/Hip Hop
This Is How We Do,Big Tymers,Rap/Hip Hop
"Pon De River, Pon De Bank",Elephant Man,Dance
Got Some Teeth,Obie Trice,Rap/Hip Hop
The Remedy,Jason Mraz,Pop
It's Five O'Clock Somewhere,Alan Jackson,Country
My Love Is Like... Wo,Mya,
Dance With My Father,Luther Vandross,R&B
Trouble,P!nk,Pop
"No Shoes, No Shirt, No Problems",Kenny Chesney,Country
24's,T.I.,Rap/Hip Hop
What Was I Thinkin',Dierks Bentley,Country
Help Pour Out The Rain,Buddy Jewell,Country
Addicted,Simple Plan,Pop
Hole In The World,Eagles,Pop
Danger,Erykah Badu,R&B
A Few Questions,Clay Walker,Country
Forever And For Always,Shania Twain,Country
Come Over,Aaliyah,R&B
In Those Jeans,Ginuwine,R&B
Let's Get Down,Bow Wow,Rap/Hip Hop
Celebrity,Brad Paisley,Country
Signs Of Love Makin',Tyrese,R&B
Lovin' All Night,Patty Loveless,Country
Bring Me To Life,Evanescence,Rock
Like Glue,Sean Paul,Pop
I Want You,Thalia,Pop
Girls And Boys,Good Charlotte,Rock
Crazy,Javier,R&B
"Never Leave You - Uh Ooh, Uh Oooh!",Lumidee,R&B
Are You Happy Now?,Michelle Branch,Pop
Red Dirt Road,Brooks,Country
Where The Hood At?,DMX,Rap/Hip Hop
Did My Time,Korn,
Light Your A** On Fire,Busta Rhymes,
This Is The Night,Clay Aiken,Pop
Then They Do,Trace Adkins,Country
Rest In Pieces,Saliva,Pop
Magic Stick,Lil' Kim,Rap/Hip Hop
Seven Nation Army,The White Stripes,Alternative
Sympathy For The Devil,The Rolling Stones,Rock
Rubberneckin',Elvis Presley,Pop
Miss Independent,Kelly Clarkson,Pop
Rock Wit U,Ashanti,R&B
When I'm Gone,3 Doors Down,Rock
Get Busy,Sean Paul,Pop
Simply Being Loved,BT,Electro
Love At 1st Sight,Mary J. Blige,
So Gone,Monica,R&B
Intuition,Jewel,Pop
Send The Pain Below,Chevelle,Rock
Just Because,Jane's Addiction,Rock
Roun' The Globe,Nappy Roots,Rap/Hip Hop
99.9% Sure,Brian McComas,Country
My Front Porch Looking In,Lonestar,Country
Beer For My Horses,Toby Keith Duet,
I Wish I Wasn't,Heather Headley,Pop
She Only Smokes When She Drinks,Joe Nichols,Country
Na Na Na,112,R&B
Breathe,Blu Cantrell,R&B
Like A Pimp,David Banner,Rap/Hip Hop
Stay Gone,Jimmy Wayne,Country
Flying Without Wings,Ruben Studdard,Pop
Feelin' Freaky,Nick Cannon,Pop
Almost Home,Craig Morgan,Country
Cop That Sh#!,Timbaland,Pop
"Swing, Swing",The All-American Rejects,Rock
Stupid Girl,Cold,Rock
21 Questions,50 Cent,Rap/Hip Hop
Ignition,R. Kelly,R&B
Don't Wanna Try,Frankie J,Pop
Fighter,Christina Aguilera,Pop
What The World Needs,Wynonna,Country
Pump It Up,Joe Budden,R&B
I Know What You Want,Busta Rhymes,Rap/Hip Hop
Rock Your Body,Justin Timberlake,Pop
If You're Not The One,Daniel Bedingfield,Pop
Never Scared,Bone Crusher,Rap/Hip Hop
Love You Out Loud,Rascal Flatts,Country
Three Wooden Crosses,Randy Travis,Country
Still Ballin,2Pac,Rap/Hip Hop
I'm Glad,Jennifer Lopez,Pop
Snake,R. Kelly,R&B
What Would You Do?,The Isley Brothers,Pop
Act A Fool,Ludacris,Rap/Hip Hop
Can't Let You Go,Fabolous,Rap/Hip Hop
No Letting Go,Wayne Wonder,Reggae
Big Yellow Taxi,Counting Crows,Rock
Say Yes,Floetry,Pop
The Love Song,Jeff Bates,Country
In Love Wit Chu,Da Brat,Rap/Hip Hop
What A Beautiful Day,Chris Cagle,Country
In Da Club,50 Cent,Rap/Hip Hop
Put That Woman First,Jaheim,R&B
Speed,Montgomery Gentry,Country
I Believe,Diamond Rio,Country
The Truth About Men,Tracy Byrd,Country
4 Ever,Lil' Mo,R&B
Tell Me Something Bad About Tulsa,George Strait,Pop
Sing For The Moment,Eminem,Rap/Hip Hop
Somewhere I Belong,Linkin Park,Alternative
Feel Good Time,P!nk,Pop
Have You Forgotten?,Darryl Worley,Country
I Love You,Dru Hill,R&B
Stuck,Stacie Orrico,Christian
Picture,Kid Rock,Pop
Times Like These,Foo Fighters,Rock
Try It On My Own,Whitney Houston,Pop
Raining On Sunday,Keith Urban,Country
Concrete Angel,Martina McBride,Country
Tal Vez,Ricky Martin,Pop
Like A Stone,Audioslave,Rock
She's My Kind Of Rain,Tim McGraw,Country
I Can,Nas,Rap/Hip Hop
Big Star,Kenny Chesney,Country
Hell Yeah,Ginuwine,R&B
Clocks,Coldplay,Rock
God Bless The U.S.A.,American Idol Finalists,Pop
Beware Of The Boys,Panjabi MC,Dance
Price To Play,Staind,Rock
How You Gonna Act Like That,Tyrese,R&B
Beautiful,Snoop Dogg,Rap/Hip Hop
Miss You,Aaliyah,R&B
The Jump Off,Lil' Kim,Rap/Hip Hop
That'd Be Alright,Alan Jackson,Country
How You Want That,Loon,Rap/Hip Hop
Emotional Rollercoaster,Vivian Green,R&B
Excuse Me Miss,JAY-Z,Rap/Hip Hop
Can't Stop,Red Hot Chili Peppers,Alternative
Flipside,Freeway,Rap/Hip Hop
Angel,Amanda Perez,Pop
The Game Of Love,Santana,Pop
Can't Stop Loving You,Phil Collins,Pop
Make Me A Song,Kiley Dean,
I'm With You,Avril Lavigne,Pop
Brokenheartsville,Joe Nichols,Country
The Anthem,Good Charlotte,Rock
Straight Out Of Line,Godsmack,Rock
Peacekeeper,Fleetwood Mac,Pop
P***ycat,"Missy ""Misdemeanor"" Elliott",
Losing Grip,Avril Lavigne,Pop
Girlfriend,B2K,Pop
Get By,Talib Kweli,Pop
Step Daddy,Hitman Sammy Sam,R&B
Beautiful,Christina Aguilera,Pop
American Life,Madonna,Pop
Roll Wit M.V.P.,Stagga Lee,
Pimp Juice,Nelly,Rap/Hip Hop
Girl All The Bad Guys Want,Bowling For Soup,Alternative
X Gon' Give It To Ya,DMX,Rap/Hip Hop
Your Body Is A Wonderland,John Mayer,Pop
All I Have,Jennifer Lopez,Pop
Man To Man,Gary Allan,Country
Superman,Eminem,Rap/Hip Hop
All The Things She Said,t.A.T.u.,Pop
Mesmerize,Ja Rule,R&B
Gossip Folks,"Missy ""Misdemeanor"" Elliott",Rap/Hip Hop
No One Knows,Queens Of The Stone Age,Rock
Fine Again,Seether,Rock
No One's Gonna Change You,Reina,Electro
I Drove All Night,Celine Dion,Pop
Cry Me A River,Justin Timberlake,Pop
Soldier's Heart,R. Kelly,
I'd Do Anything,Simple Plan,Pop
Running,No Doubt,Pop
Don't Know Why,Norah Jones,Singer & Songwriter
Sick Of Being Lonely,Field Mob,Pop
"Bump, Bump, Bump",B2K,Pop
What Happened To That Boy,Baby,Rap/Hip Hop
Blowin' Me Up,JC Chasez,Pop
Always,Saliva,Pop
Don't Dream It's Over,Sixpence None The Richer,Christian
Lifestyles Of The Rich And Famous,Good Charlotte,Rock
Damaged,TLC,R&B
Thugz Mansion,2Pac,Rap/Hip Hop
Tell Me,Smilez,Rap/Hip Hop
The Baby,Blake Shelton,Country
That Girl,Marques Houston,R&B
Laundromat,Nivea,R&B
You Can't Hide Beautiful,Aaron Lines,Country
Yeah Yeah U Know It,Keith Murray,Rap/Hip Hop
Choppa Style,Choppa,R&B
Wanksta,50 Cent,Rap/Hip Hop
Don't Mess With My Man,Nivea,R&B
The Red,Chevelle,Rock
Rock You Baby,Toby Keith,Country
B R Right,Trina,Rap/Hip Hop
A.D.I.D.A.S.,Killer Mike,Rap/Hip Hop
Landslide,Dixie Chicks,
19 Somethin',Mark Wills,Country
All I Need,Fat Joe,Rap/Hip Hop
Travelin' Soldier,Dixie Chicks,
Up!,Shania Twain,Pop
Can't Nobody,Kelly Rowland,R&B
'03 Bonnie & Clyde,Jay-Z,Pop
Fabulous,Jaheim,R&B
Fall Into Me,Emerson Drive,Country
The Wreckoning,Boomkat,Pop
Family Portrait,P!nk,Pop
Do That...,Baby,Rap/Hip Hop
Come Close To Me,Common,
I Should Be...,Dru Hill,R&B
Air Force Ones,Nelly,Rap/Hip Hop
Underneath It All,No Doubt,Pop
I Just Wanna Be Mad,Terri Clark,Country
Make It Clap,Busta Rhymes,Reggae
Beautiful Goodbye,Jennifer Hanson,Country
Chrome,Trace Adkins,Country
One Of Those Days,Whitney Houston,Pop
Paradise,LL Cool J,Rap/Hip Hop
"Ma, I Don't Love Her",Clipse,Rap/Hip Hop
I Wish You'd Stay,Brad Paisley,Country
She Hates Me,Puddle Of Mudd,Rock
All My Life,Foo Fighters,Alternative
In A Little While,Uncle Kracker,Pop
Something,Lasgo,Dance
Made You Look,Nas,Rap/Hip Hop
Satisfaction,Eve,Rap/Hip Hop
Bother,Stone Sour,Rock
Break You Off,The Roots,Rap/Hip Hop
Talkin' To Me,Amerie,Pop
Love Of My Life,Erykah Badu,R&B
Lose Yourself,Eminem,Rap/Hip Hop
Through The Rain,Mariah Carey,Pop
A Lot Of Things Different,Kenny Chesney,Country
What We Do,Freeway,Rap/Hip Hop
I'd Rather,Luther Vandross,R&B
Work It,"Missy ""Misdemeanor"" Elliott",Rap/Hip Hop
dontchange,Musiq,
Disease,matchbox twenty,Pop
You Know You're Right,Nirvana,Rock
I'm Gonna Getcha Good!,Shania Twain,Pop
Breathe,Telepopmusik,Electro
Cochise,Audioslave,Rock
He Is,Heather Headley,Pop
Jenny From The Block,Jennifer Lopez,Pop
Cry,Faith Hill,Country
Red Rag Top,Tim McGraw,
Unusually Unusual,Lonestar,Country
Take You Home,Angie Martinez,Rap/Hip Hop
She'll Leave You With A Smile,George Strait,Country
These Days,Rascal Flatts,Country
Who's Your Daddy?,Toby Keith,Country
Spin,Lifehouse,Rock
Thug Holiday,Trick Daddy,Rap/Hip Hop
Prayer,Disturbed,Rock
Stole,Kelly Rowland,R&B
Rock The Party,Benzino,Rock
The Zephyr Song,Red Hot Chili Peppers,Alternative
My Town,Montgomery Gentry,Country
Die Another Day,Madonna,Pop
Hit The Freeway,Toni Braxton,Rap/Hip Hop
When The Last Time,Clipse,Rap/Hip Hop
A Moment Like This,Kelly Clarkson,Pop
Dirrty,Christina Aguilera,Pop
Come Into My World,Kylie Minogue,Rock
React,Erick Sermon,Rap/Hip Hop
One Last Breath,Creed,Rock
Gimme The Light,Sean Paul,Pop
Dilemma,Nelly,Rap/Hip Hop
Sk8er Boi,Avril Lavigne,Pop
Thug Lovin',Ja Rule,Rap/Hip Hop
Girl Talk,TLC,R&B
Luv U Better,LL Cool J,Rap/Hip Hop
Hey Ma,Cam'Ron,Rap/Hip Hop
Like I Love You,Justin Timberlake,Pop
Goodbye To You,Michelle Branch,Pop
From Tha Chuuuch To Da Palace,Snoop Dogg,Rap/Hip Hop
Single For The Rest Of My Life,Isyss,Pop
I Care 4 U,Aaliyah,R&B
Somewhere Out There,Our Lady Peace,Pop
These Are The Days,O-Town,Pop
Every River,Brooks,Country
Complicated,Avril Lavigne,Pop
Somebody Like You,Keith Urban,Country
Aerials,System Of A Down,Rock
Work In Progress,Alan Jackson,Country
Oh Yeah!,Big Tymers,Rap/Hip Hop
Po' Folks,Nappy Roots,Rap/Hip Hop
Baby,Ashanti,Pop
Beautiful Mess,Diamond Rio,Country
The Streets,WC,Rap/Hip Hop
Ordinary Day,Vanessa Carlton,Pop
Where Would You Be,Martina McBride,Country
Little Things,India.Arie,R&B
If I Could Go!,Angie Martinez,Rap/Hip Hop
Gotta Get Thru This,Daniel Bedingfield,Pop
Stingy,Ginuwine,R&B
Cleanin' Out My Closet,Eminem,Rap/Hip Hop
Trade It All,Fabolous,Rap/Hip Hop
Gangsta Lovin',Eve,Rap/Hip Hop
A Thousand Miles,Vanessa Carlton,Pop
The Ketchup Song,Las Ketchup,Pop
Starry Eyed Surprise,Oakenfold,Dance
Forgive,Rebecca Lynn Howard,Country
Heaven,DJ Sammy,Electro
I Need A Girl,P. Diddy,
I Am Mine,Pearl Jam,Pop
Crush Tonight,Fat Joe,Rap/Hip Hop
American Child,Phil Vassar,Country
Good Times,Styles,Pop
Braid My Hair,Mario,Pop
Flake,Jack Johnson,Rock
I Keep Looking,Sara Evans,Country
Two Wrongs,Wyclef Jean,R&B
Burnin' Up,Faith Evans,R&B
Why I Love You,B2K,Pop
Just Like A Pill,P!nk,Pop
Running Away,Hoobastank,Alternative
Ten Rounds With Jose Cuervo,Tracy Byrd,Country
Unbroken,Tim McGraw,Country
"Don't Say No, Just Say Yes",Avant,Pop
Move B***h,Ludacris,Rap/Hip Hop
No Such Thing,John Mayer,Pop
Downfall,TRUSTcompany,Pop
The One You Love,Paulina Rubio,Pop
In Da Wind,Trick Daddy,Rap/Hip Hop
Electrical Storm,U2,Rock
Nothin',N.O.R.E.,Pop
Happy,Ashanti,Pop
Down 4 U,Irv Gotti Presents The Inc.,
Long Time Gone,Dixie Chicks,
Objection,Shakira,Latin Music
I Do,3LW,R&B
Sweetness,Jimmy Eat World,Rock
Are We Cuttin',Pastor Troy,Rap/Hip Hop
Hot In Herre,Nelly,Rap/Hip Hop
Soak Up The Sun,Sheryl Crow,Pop
The Middle,Jimmy Eat World,Rock
Where Are You Going,Dave Matthews Band,Rock
By The Way,Red Hot Chili Peppers,Alternative
I Miss My Friend,Darryl Worley,Country
When You Lie Next To Me,Kellie Coffey,Country
The Impossible,Joe Nichols,Country
The Good Stuff,Kenny Chesney,Country
"Courtesy Of The Red, White And Blue",Toby Keith,Country
Feel It Boy,Beenie Man,
She Was,Mark Chesnutt,Country
Just A Friend 2002,Mario,Pop
Hero,Chad Kroeger,Rock
Big Machine,Goo Goo Dolls,Pop
My Friends Over You,New Found Glory,Rock
Love At First Sight,Kylie Minogue,Rock
Steve McQueen,Sheryl Crow,Pop
Why Don't We Fall In Love,Amerie,Pop
The Rising,Bruce Springsteen,Rock
Grindin',Clipse,Rap/Hip Hop
Walking Away,Craig David,Pop
Drift & Die,Puddle Of Mudd,Rock
She Loves Me Not,Papa Roach,Rock
Call Me,Tweet,Pop
I've Got You,Marc Anthony,Latin Music
Out Of My Heart,BBMak,Rock
I'm Gonna Be Alright,Jennifer Lopez,Pop
Hate To Say I Told You So,The Hives,Films/Games
The One,Gary Allan,Country
Tainted,Slum Village,Rap/Hip Hop
Put Me Down,Donell Jones,R&B
Still Fly,Big Tymers,Rap/Hip Hop
Foolish,Ashanti,Pop
Without Me,Eminem,Rap/Hip Hop
Days Go By,Dirty Vegas,Electro
Someone To Love You,Ruff Endz,R&B
All Eyez On Me,Monica,R&B
Full Moon,Brandy,Pop
Way Of Life,Lil Wayne,Pop
"My Neck, My Back",Khia,R&B
Wherever You Will Go,The Calling,Pop
I'm Gonna Miss Her,Brad Paisley,Country
Tonight I Wanna Be Your Man,Andy Griggs,Country
Oh Boy,Cam'Ron,Rap/Hip Hop
halfcrazy,Musiq,
Blurry,Puddle Of Mudd,Rock
A Little Less Conversation,Elvis Presley,Rock
You Know That I Love You,Donell Jones,R&B
Whatchulookinat,Whitney Houston,Pop
Blue Jeans,Yasmeen,R&B
All You Wanted,Michelle Branch,Pop
Wasting My Time,Default,Rock
Addictive,Truth Hurts,Pop
Hella Good,No Doubt,Pop
For All Time,Soluna,Pop
Not A Day Goes By,Lonestar,Country
What's Luv?,Fat Joe,Rap/Hip Hop
Gots Ta Be,B2K,Pop
What If A Woman,Joe,R&B
Where Do We Go From Here,Filter,Rock
Living And Living Well,George Strait,Country
I Don't Have To Be Me,Steve Azar,Country
My Heart Is Lost To You,Brooks,Country
Down A** Chick,Ja Rule,
Quitame Ese Hombre,Pilar Montenegro,Traditional Mexicano
Don't Say Goodbye,Paulina Rubio,Pop
How You Remind Me,Nickelback,Rock
Rainy Dayz,Mary J. Blige,R&B
Help Me Understand,Trace Adkins,Country
Feels Good,Naughty By Nature,Rap/Hip Hop
Give It To Her,Tanto Metro,Reggae
Here To Stay,Korn,
U Don't Have To Call,Usher,Rap/Hip Hop
Here Is Gone,Goo Goo Dolls,Pop
Makin' Good Love,Avant,Pop
Say I Yi Yi,Ying Yang Twins,Rap/Hip Hop
Don't Let Me Get Me,P!nk,Pop
Drive,Alan Jackson,Country
Underneath Your Clothes,Shakira,Latin Music
Too Bad,Nickelback,Rock
I Should Be Sleeping,Emerson Drive,Country
Toxicity,System Of A Down,Rock
Wish I Didn't Miss You,Angie Stone,R&B
In The End,Linkin Park,Alternative
Papa Don't Preach,Kelly Osbourne,Rock
Awnaw,Nappy Roots,Rap/Hip Hop
More Than A Woman,Aaliyah,R&B
Pass The Courvoisier Part II,Busta Rhymes,Rap/Hip Hop
A New Day Has Come,Celine Dion,Pop
For You,Staind,Rock
Black Suits Comin',Will Smith,Pop
One Mic,Nas,Rap/Hip Hop
I Don't Want You To Go,Carolyn Dawn Johnson,Country
Anything,Jaheim,R&B
Escape,Enrique Iglesias,Pop
What If She's An Angel,Tommy Shane Steiner,Country
That's When I Love You,Phil Vassar,Country
Crawling In The Dark,Hoobastank,Alternative
Guess Who's Back,Scarface,Rap/Hip Hop
Ain't It Funny,Jennifer Lopez,Pop
My List,Toby Keith,Country
Saturday,Ludacris,Rap/Hip Hop
Roc The Mic,Beanie Sigel,R&B
Day + Night,Isyss,Pop
This Woman's Work,Maxwell,R&B
Girlfriend,'N Sync,
Young,Kenny Chesney,Country
Oops,Tweet,Pop
"I Breathe In, I Breathe Out",Chris Cagle,Country
I Love You,Faith Evans,R&B
Hands Clean,Alanis Morissette,Pop
Youth Of The Nation,P.O.D.,Rock
Can't Get You Out Of My Head,Kylie Minogue,Rock
I'm Movin' On,Rascal Flatts,Country
Modern Day Bonnie And Clyde,Travis Tritt,Country
Video,India.Arie,R&B
Uh Huh,B2K,Pop
How Come You Don't Call Me,Alicia Keys,R&B
Take A Message,Remy Shand,R&B
Never,Amanda Perez,Pop
Rapture,iio,Electro
Sugarhigh,Jade Anderson,
Blessed,Martina McBride,Country
The Cowboy In Me,Tim McGraw,Country
That's Just Jessie,Kevin Denney,Rock
Take Ya Home,Lil Bow Wow,
What About Us?,Brandy,Pop
Some Days You Gotta Dance,Dixie Chicks,
Overprotected,Britney Spears,Pop
Whoa Now,B Rich,Rap/Hip Hop
Always On Time,Ja Rule,R&B
Hero,Enrique Iglesias,Pop
Nothing In This World,KeKe Wyatt,R&B
Chop Suey,System Of A Down,Rock
I Told Y'all,Petey Pablo,Rap/Hip Hop
So Complicated,Carolyn Dawn Johnson,
Take You Home With Me a.k.a. Body,R. Kelly,Rap/Hip Hop
It's Goin' Down,X-Ecutioners,Alternative
Tell Me What's It Gonna Be,Brian McKnight,
My Sacrifice,Creed,Rock
Welcome To Atlanta,Jermaine Dupri,R&B
Any Other Night,Sharissa,R&B
Song For The Lonely,Cher,Pop
Can't Fight The Moonlight,LeAnn Rimes,Country
Family Affair,Mary J. Blige,R&B
"Lights, Camera, Action!",Mr. Cheeks,R&B
The Whole World,OutKast,Rap/Hip Hop
The Long Goodbye,Brooks,Country
Hey Luv,Mobb Deep,R&B
Be Here,Raphael Saadiq,R&B
U Got It Bad,Usher,Rap/Hip Hop
Superman,Five For Fighting,Alternative
No More Drama,Mary J. Blige,R&B
No Matta What,Toya,R&B
Bouncin' Back,Mystikal,Rap/Hip Hop
The World's Greatest,R. Kelly,R&B
Closet Freak,Cee-Lo,Rap/Hip Hop
Take Away,"Missy ""Misdemeanor"" Elliott",R&B
Hey Baby,No Doubt,Pop
7 Days,Craig David,Pop
Bring On The Rain,Jo Dee Messina,Country
Feel The Girl,Ms. Jade,Rap/Hip Hop
Got Ur Self A...,Nas,Rap/Hip Hop
Hush Lil' Lady,Corey,
Wrong Impression,Natalie Imbruglia,Pop
Don't You Forget It,Glenn Lewis,R&B
Young'n,Fabolous,Rap/Hip Hop
Good Morning Beautiful,Steve Holy,Country
Insatiable,Darren Hayes,Pop
Get The Party Started,P!nk,Pop
"Whenever, Wherever",Shakira,Latin Music
Where Were You,Alan Jackson,Country
Round And Round,Jonell,Films/Games
Roll Out,Ludacris,Rap/Hip Hop
Butterflies,Michael Jackson,Pop
Standing Still,Jewel,Pop
Wrapped Around,Brad Paisley,Country
In Another World,Joe Diffie,Country
Caramel,City High,Rap/Hip Hop
Break Ya Neck,Busta Rhymes,Rap/Hip Hop
Brotha,Angie Stone,R&B
Jigga,JAY-Z,Rap/Hip Hop
Knoc,Knoc-Turn'Al,Rap/Hip Hop
Drops Of Jupiter,Train,Rock
Alive,P.O.D.,Rock
Just Let Me Be In Love,Tracy Byrd,Country
I Miss You,DMX,Rap/Hip Hop
Defy You,The Offspring,Rock
A Woman's Worth,Alicia Keys,R&B
We Thuggin',Fat Joe,Rap/Hip Hop
Run,George Strait,Country
Wrapped Up In You,Garth Brooks,
Riding With Private Malone,David Ball,Country
Part II,Method Man,Films/Games
Ooohhhwee,Master P,
Let's Stay Home Tonight,Joe,R&B
Gone,'N Sync,
Where The Stars And Stripes And The Eagle Fly,Aaron Tippin,Country
#1,Nelly,Pop
Drowning,Backstreet Boys,Pop
I'm Tryin',Trace Adkins,Country
I Do!!,Toya,R&B
It's Been Awhile,Staind,Pop
Rock The Boat,Aaliyah,R&B
I Wanna Talk About Me,Toby Keith,Country
Dig In,Lenny Kravitz,Rock
Goodbye,Jagged Edge,R&B
Control,Puddle Of Mudd,Rock
Livin' It Up,Ja Rule,R&B
Differences,Ginuwine,Pop
Hanging By A Moment,Lifehouse,Pop
From Her Mama,Juvenile,
Fatty Girl,Ludacris,R&B
You Gets No Love,Faith Evans,R&B
Only Time,Enya,Pop
Stuck In A Moment You Can't Get Out Of,U2,Rock
Emotion,Destiny's Child,Pop
Son Of A Gun,Janet,R&B
Fade,Staind,Rock
Runaway,NB Ridaz,Rap/Hip Hop
Fallin',Alicia Keys,R&B
Turn Off The Light,Nelly Furtado,Pop
I'm Real,Jennifer Lopez,Pop
Wish You Were Here,Incubus,Rock
My Sweet Lord,George Harrison,Rock
With Me,Lonestar,Country
Thank You,Lil Bow Wow,
"Girls, Girls, Girls",JAY-Z,Rap/Hip Hop
Love Of A Woman,Travis Tritt,Country
Dance With Me,112,R&B
Love Of My Life,Brian McKnight,R&B
I'm A Survivor,Reba,Country
Burn,Mobb Deep,R&B
What Am I Gonna Do,Tyrese,Pop
Lifetime,Maxwell,R&B
I'm A Slave 4 U,Britney Spears,Pop
You Rock My World,Michael Jackson,Pop
God Bless The USA,Lee Greenwood,Country
Do U Wanna Roll,R.L.,Films/Games
Everywhere,Michelle Branch,Pop
Ugly,Bubba Sparxxx,Rap/Hip Hop
The Star Spangled Banner,Whitney Houston,Pop
Never Too Far/Hero Medley,Mariah Carey,
AM To PM,Christina Milian,Pop
Smooth Criminal,Alien Ant Farm,Rock
Where I Come From,Alan Jackson,Country
God Bless America,Daniel Rodriguez,
Raise Up,Petey Pablo,Rap/Hip Hop
Angry All The Time,Tim McGraw,Country
Feelin' On Yo Booty,R. Kelly,R&B
What If,Babyface,R&B
Who We Be,DMX,Rap/Hip Hop
Hit 'Em Up Style,Blu Cantrell,R&B
Crawling,Linkin Park,Alternative
Diddy,P. Diddy,Rap/Hip Hop
Freedom,Paul McCartney,Pop
Every Other Time,LFO,Pop
Fat Lip,Sum 41,Rock
Where The Party At,Jagged Edge,R&B
Be Like That,3 Doors Down,Pop
I Would've Loved You Anyway,Trisha Yearwood,Country
Angels In Waiting,Tammy Cochran,Country
Let Me Blow Ya Mind,Eve,Rock
Fill Me In,Craig David,Pop
Izzo,JAY-Z,Rap/Hip Hop
On A Night Like This,Trick Pony,Country
What's Going On,All Star Tribute,Rock
Take You Out,Luther Vandross,R&B
Bad Day,Fuel,Rock
One Minute Man,"Missy ""Misdemeanor"" Elliott",R&B
Only In America,Brooks,Country
Can't Deny It,Fabolous,Rap/Hip Hop
I'm A Thug,Trick Daddy,Rap/Hip Hop
I'm A Believer,Smash Mouth,Films/Games
U Remind Me,Usher,Rap/Hip Hop
Ballin' Out Of Control,Jermaine Dupri,R&B
Castles In The Sky,Ian Van Dahl,Dance
The Way,Jill Scott,R&B
Set It Off,Juvenile,Rap/Hip Hop
When God-Fearin' Women Get The Blues,Martina McBride,Country
Contagious,The Isley Brothers,R&B
Drive,Incubus,Alternative
Just In Case,Jaheim,Rap/Hip Hop
I'll Fly With You,Gigi D'Agostino,
Someone To Call My Lover,Janet,Pop
Schism,Tool,Rock
Area Codes,Ludacris,Rap/Hip Hop
Clint Eastwood,Gorillaz,Pop
Flavor Of The Weak,American Hi-Fi,Pop
When It's Over,Sugar Ray,Pop
Peaches & Cream,112,R&B
I'm Just Talkin' About Tonight,Toby Keith,Country
Where The Blacktop Ends,Keith Urban,Country
The Space Between,Dave Matthews Band,Rock
All Or Nothing,O-Town,Pop
Follow Me,Uncle Kracker,Country
Here's To The Night,Eve 6,Pop
When I Think About Angels,Jamie O'Neal,Country
Start The Commotion,The Wiseguys,Rap/Hip Hop
I Wanna Be Bad,Willa Ford,Pop
Because I Got High,Afroman,Pop
What I Really Meant To Say,Cyndi Thomson,Country
Bad Boy For Life,P. Diddy,
Music,Erick Sermon,Rap/Hip Hop
Six-Pack Summer,Phil Vassar,Country
Girl Next Door,Musiq Soulchild,R&B
Bootylicious,Destiny's Child,Pop
John Doe,Public Announcement,R&B
Austin,Blake Shelton,Country
Thank You,Dido,Pop
There You'll Be,Faith Hill,Country
More Than That,Backstreet Boys,Pop
Shine,Lil' Wayne,Rap/Hip Hop
We Need A Resolution,Aaliyah,R&B
What Would You Do?,City High,R&B
Irresistible,Jessica Simpson,Pop
Purple Hills,D12,Rap/Hip Hop
My Projects,Coo Coo Cal,Rap/Hip Hop
What It Is,Violator,
Downtime,Jo Dee Messina,Country
This Is Me,Dream,Pop
Sandstorm,Darude,Electro
Loverboy,Mariah Carey,Pop
Laredo,Chris Cagle,Country
She's All I Got,Jimmy Cozier,
The Rock Show,Blink-182,Alternative
I'm Already There,Lonestar,Country
Wait A Minute,Ray J,Rap/Hip Hop
Can't Believe,Faith Evans,R&B
While You Loved Me,Rascal Flatts,Country
Mad Season,matchbox twenty,Pop
Ride Wit Me,Nelly,Rap/Hip Hop
Ghetto Girls,Lil Bow Wow,
Pop,'N Sync,
Bia' Bia',Lil Jon,Rap/Hip Hop
Get Ur Freak On,"Missy ""Misdemeanor"" Elliott",R&B
I Could Not Ask For More,Sara Evans,Country
Why They Call It Falling,Lee Ann Womack,Country
Don't Mess With The Radio,Nivea,R&B
Angel,Lionel Richie,R&B
"Baby, Come Over",Samantha Mumba,Pop
She Couldn't Change Me,Montgomery Gentry,Country
Superwoman Pt. II,Lil' Mo,R&B
Lady Marmalade,Christina Aguilera,Pop
Two People Fell In Love,Brad Paisley,Country
Fiesta,R. Kelly,R&B
Play,Jennifer Lopez,Pop
Right Where I Need To Be,Gary Allan,Country
La Bomba,Azul Azul,Latin Music
When Somebody Loves You,Alan Jackson,Country
Miss California,Dante Thomas,Electro
There She Goes,Babyface,R&B
My Baby,Lil' Romeo,Rap/Hip Hop
I'm Like A Bird,Nelly Furtado,Pop
All For You,Janet,Pop
Grown Men Don't Cry,Tim McGraw,Country
I Like Them Girls,Tyrese,R&B
If You Can Do Anything Else,George Strait,Country
If You're Gone,matchbox twenty,Pop
I Hope You Dance,Lee Ann Womack,Country
I Cry,Ja Rule,R&B
Just A Baby Boy,Snoop Dogg,Rap/Hip Hop
Survivor,Destiny's Child,Pop
Midwest Swing,St. Lunatics,Rap/Hip Hop
Lay Low,Snoop Dogg,Rap/Hip Hop
Maybe I Deserve,Tank,R&B
My Way,Limp Bizkit,Rock
Ain't Nothing 'Bout You,Brooks,Country
