genre,Pop,Rock,Country,R&B,Rap/Hip Hop,Alternative,Dance,Electro,Films/Games,Latin Music,Christian,Reggae,Jazz,Folk,Metal,Singer & Songwriter,Reggaeton,Asian Music,Disco,Traditional Mexicano,Classical,Kids
Pop,1.0,-0.5694896383842618,-0.4148673879997796,-0.4604570922486411,-0.3403952469009611,-0.18180059434181564,-0.2673003428451111,-0.3029341826621619,-0.12864769570853868,-0.2796480251194625,-0.2661265144386561,-0.23627449023163205,-0.1916457603895103,-0.09133639686299677,-0.11768649426342588,-0.1708558322361474,-0.12366978266030387,-0.09432698018274017,-0.11863942118187826,-0.08982552897165827,-0.009560869053028036,-0.08854590493551594
Rock,-0.5694896383842618,1.0,-0.18529942013623116,-0.1916434996408399,-0.24097003620781024,-0.20681272300636375,-0.05105146034823328,-0.04692000559009711,-0.1574971381610145,-0.0964043952088985,-0.020610433502718146,-0.03189967483398466,-0.00446180944356616,0.0035056684543699986,-0.0033123490944364535,-0.051102663052283136,-0.020184180312745093,-0.035676461229588854,-0.04079310991093064,-0.008636561530274773,0.061657038474986055,0.035787502647446394
Country,-0.4148673879997796,-0.18529942013623116,1.0,0.42552407409691256,0.29172497777238887,0.39276629761125187,-0.09124094295336901,0.007910534796819205,-0.13003873180496767,0.4615800874199161,0.03391791827491361,0.08444168437386387,-0.1603447062021195,-0.1158862516470529,0.04047751260662838,0.4012307800424106,0.2642881740402236,-0.052583681900582595,-0.06287500190914544,0.1719350020533875,-0.10004365964864957,0.006496155036309409
R&B,-0.4604570922486411,-0.1916434996408399,0.42552407409691256,1.0,0.5103475359129936,0.22543891177980102,0.6469968731816134,0.6470382282425526,-0.17480727596510398,0.45351124793980035,0.493722910768159,0.4815504784273019,0.5173933742927277,0.2770692083368152,0.24007485202181753,0.1789847892494733,0.02887833009311808,0.22013624305164517,0.34949061898839895,0.1062647556140717,0.012503578483515493,0.10763649461113767
Rap/Hip Hop,-0.3403952469009611,-0.24097003620781024,0.29172497777238887,0.5103475359129936,1.0,0.1699381893348042,0.27752542742282893,0.2958179323518552,-0.14872399556875254,0.21699474805778937,0.25537827119050627,0.23155230347566014,0.15646019684140783,0.08944489835901917,0.05017083872822878,0.07338102796794409,0.0810297414869704,0.2486656791827562,0.1893865616232106,0.043222463315868175,-0.041080775754576436,0.0183128458776507
Alternative,-0.18180059434181564,-0.20681272300636375,0.39276629761125187,0.22543891177980102,0.1699381893348042,1.0,0.10683583059053485,0.129157946474824,-0.1215139726887869,0.15779186522047903,0.0917389231854699,0.0673907700662887,0.02989886129093679,0.048946658562303146,0.07345137040568404,0.1370033187656208,0.1656751074908108,0.0051171765547563,0.033670087071836226,0.025637231085441234,-0.028956527409753668,0.05507935801669901
Dance,-0.2673003428451111,-0.05105146034823328,-0.09124094295336901,0.6469968731816134,0.27752542742282893,0.10683583059053485,1.0,0.7910884506598468,-0.10102074383359953,0.03393732016062314,0.6031607314516236,0.44461583172852814,0.8267863818717299,0.3674631867189309,0.2924048431176132,-0.1148186469560666,-0.08712364374665155,0.051710782488375844,0.316141337229786,-0.06207325890903411,0.19608982754467455,0.1845684945207059
Electro,-0.3029341826621619,-0.04692000559009711,0.007910534796819205,0.6470382282425526,0.2958179323518552,0.129157946474824,0.7910884506598468,1.0,-0.12035659297898385,0.03672314067098366,0.6131012404073838,0.47349332205308786,0.741341018683805,0.34930961382783654,0.1958989559291662,0.0034344317467305593,0.005220506587095118,0.35629168180697535,0.05844919248731336,-0.023566809258898425,0.06078842615626621,0.2779705615204531
Films/Games,-0.12864769570853868,-0.1574971381610145,-0.13003873180496767,-0.17480727596510398,-0.14872399556875254,-0.1215139726887869,-0.10102074383359953,-0.12035659297898385,1.0,-0.08384119235164493,-0.08247986572936436,-0.10068738426130813,-0.08315033091250484,-0.056588151199106526,-0.055472726010763786,-0.05958809134097589,-0.025560886275036335,-0.02261052731857577,-0.03668139105792138,-0.031238418927114354,-0.028554237262992478,-0.03988158062446915
Latin Music,-0.2796480251194625,-0.0964043952088985,0.4615800874199161,0.45351124793980035,0.21699474805778937,0.15779186522047903,0.03393732016062314,0.03672314067098366,-0.08384119235164493,1.0,0.03546044014828225,0.1375218323471721,-0.07260800774928541,-0.07182008339787098,0.16472854011928065,0.26304342244063883,0.04944216789179795,0.08639418612938911,0.3549991786468308,0.5053976174499312,-0.06124320405218097,-0.022610453177922218
Christian,-0.2661265144386561,-0.020610433502718146,0.03391791827491361,0.493722910768159,0.25537827119050627,0.0917389231854699,0.6031607314516236,0.6131012404073838,-0.08247986572936436,0.03546044014828225,1.0,0.43359341906448456,0.5454197194656356,0.032728474462050336,0.18722503882619554,0.10700994360579227,0.13759606890400133,0.109210136724701,0.25146192186012983,-0.06671568999865016,-0.06671568999865014,0.49672570895899626
